"","x"
"1","asyl"
"2","asylanträge"
"3","ausländer"
"4","flüchtlinge"
"5","flüchtlingen"
"6","flüchtlings"
"7","flüchtlingskrise"
"8","migranten"
"9","migration"
"10","steueroasen"
"11","straffällige"
"12","tschetschenen"
"13","zuwanderung"
"14","asylant"
"15","asylanten"
"16","asylantinnen"
"17","asylbewerber"
"18","asylbewerberin"
"19","asylbewerberinnen"
"20","auslander"
"21","auslanderinnen"
"22","einwanderer"
"23","einwandererin"
"24","einwandererinnen"
"25","einwandernde"
"26","einwanderung"
"27","fluchtling"
"28","fluchtende"
"29","fluchtlinge"
"30","immigration"
"31","schutzsuchende"
"32","schutzbedurftige"
"33","visa"
"34","visum"
"35","zuwanderer"
"36","zuwandernde"
