"","x"
"1","täter"
"2","täterin"
"3","polizei"
"4","verbrechen"
"5","überfall"
"6","mord"
"7","attacke"
"8","raub"
"9","straftat"
"10","ermittelt"
"11","gericht"
"12","prozess"
"13","staatsanwalt"
"14","staatsanwältin"
"15","gefährder"
"16","haft"
"17","festnahme"
"18","betrug"
"19","betrüger"
"20","erstochen"
"21","opfer"
"22","anwalt"
"23","drogen"
"24","dealer"
"25","getötet"
"26","verletzung"
"27","delikt"
"28","vergewaltigung"
"29","begangen"
"30","angeklagt"
"31","sexuelle"
"32","vorwurf"
"33","sexuellen"
"34","entführung"
"35","folter"
"36","mordes"
"37","missbrauch"
"38","morde"
"39","tötung"
"40","vergehen"
"41","beschuldigt"
"42","diebstahl"
"43","sexueller"
"44","übergriffe"
"45","brandstiftung"
"46","untreue"
"47","erpressung"
"48","bezichtigt"
"49","missbrauchs"
"50","misshandlung"
"51","ehebruch"
"52","totschlag"
"53","belästigung"
"54","nötigung"
"55","inzest"
"56","todesfolge"
"57","versuchter"
"58","staatsanwaltschaft"
