"","x"
"1","abschiebungen"
"2","arbeitnehmer"
"3","arbeitslose"
"4","asylbewerber"
"5","atomkraft"
"6","beamte"
"7","erzieher"
"8","fernbusse"
"9","kassenpatienten"
"10","klimaziele"
"11","migranten"
"12","sozialhilfe"
"13","staatshilfe"
"14","subventionen"
"15","asyl"
"16","asylant"
"17","asylanten"
"18","asylantinnen"
"19","asylbewerberin"
"20","asylbewerberinnen"
"21","auslander"
"22","auslanderinnen"
"23","einwanderer"
"24","einwandererin"
"25","einwandererinnen"
"26","einwandernde"
"27","einwanderung"
"28","fluchtling"
"29","fluchtende"
"30","fluchtlinge"
"31","migration"
"32","immigration"
"33","schutzsuchende"
"34","schutzbedurftige"
"35","visa"
"36","visum"
"37","zuwanderung"
"38","zuwanderer"
"39","zuwandernde"
