"","x"
"1","asyl"
"2","asylant"
"3","asylanten"
"4","asylbewerber"
"5","asylbewerberin"
"6","auslander"
"7","einwanderer"
"8","einwandernde"
"9","einwanderung"
"10","migration"
"11","immigration"
"12","schutzsuchende"
"13","visa"
"14","visum"
"15","zuwanderung"
"16","zuwanderer"
"17","zuwandernde"
"18","ausländer"
"19","ausländerinnen"
"20","flüchtling"
"21","flüchtende"
"22","flüchtlinge"
"23","flüchtlingen"
"24","migranten"
"25","vertriebene"
"26","asylantinnen"
"27","asylbewerberinnen"
"28","auslanderinnen"
"29","einwandererin"
"30","einwandererinnen"
"31","fluchtling"
"32","fluchtende"
"33","fluchtlinge"
"34","schutzbedurftige"
"35","schutzbedürftige"
