"","x"
"1","abschiebungen"
"2","abtreibungen"
"3","afrikaner"
"4","asylanträge"
"5","asylbewerber"
"6","asylpolitik"
"7","asylsuchende"
"8","asylverfahren"
"9","ausländer"
"10","bootsflüchtlinge"
"11","einreiseverbot"
"12","einwanderer"
"13","flüchtlinge"
"14","flüchtlingen"
"15","flüchtlingshilfe"
"16","flüchtlingskrise"
"17","flüchtlingspolitik"
"18","gewalttaten"
"19","innenministerium"
"20","migranten"
"21","migration"
"22","militäreinsatz"
"23","plastiktüten"
"24","rüstungsexporte"
"25","zuwanderer"
"26","zuwanderung"
"27","asyl"
"28","asylant"
"29","asylanten"
"30","asylantinnen"
"31","asylbewerberin"
"32","asylbewerberinnen"
"33","auslander"
"34","auslanderinnen"
"35","einwandererin"
"36","einwandererinnen"
"37","einwandernde"
"38","einwanderung"
"39","fluchtling"
"40","fluchtende"
"41","fluchtlinge"
"42","immigration"
"43","schutzsuchende"
"44","schutzbedurftige"
"45","visa"
"46","visum"
"47","zuwandernde"
