"","x"
"1","abschiebungen"
"2","afghanen"
"3","asylbewerber"
"4","asylsuchende"
"5","balkanstaaten"
"6","bezahlbaren"
"7","einwanderung"
"8","familiennachzug"
"9","konzept"
"10","migration"
"11","regelung"
"12","sozialkassen"
"13","stadtentwicklung"
"14","syrer"
"15","zuwanderer"
"16","zuwanderung"
"17","asyl"
"18","asylant"
"19","asylanten"
"20","asylantinnen"
"21","asylbewerberin"
"22","asylbewerberinnen"
"23","auslander"
"24","auslanderinnen"
"25","einwanderer"
"26","einwandererin"
"27","einwandererinnen"
"28","einwandernde"
"29","fluchtling"
"30","fluchtende"
"31","fluchtlinge"
"32","immigration"
"33","schutzsuchende"
"34","schutzbedurftige"
"35","visa"
"36","visum"
"37","zuwandernde"
