title,url,text,angeklagt,anwalt,attacke,begangen,bel�stigung,beschuldigt,betrug,betr�ger,bezichtigt,brandstiftung,dealer,delikt,diebstahl,drogen,ehebruch,entf�hrung,ermittelt,erpressung,erstochen,festnahme,folter,gef�hrder,gericht,get�tet,haft,inzest,missbrauch,missbrauchs,misshandlung,mord,morde,mordes,n�tigung,opfer,polizei,prozess,raub,sexuelle,sexuellen,sexueller,staatsanwalt,staatsanw�ltin,staatsanwaltschaft,straftat,t�ter,t�terin,todesfolge,totschlag,t�tung,�berfall,�bergriffe,untreue,verbrechen,vergehen,vergewaltigung,verletzung,versuchter,vorwurf,sum,ntokens,mig_share
Aktivisten stören AfD-Infostand in Münster,https://www.sueddeutsche.de/politik/wahlen-muenster-aktivisten-stoeren-afd-infostand-in-muenster-dpa.urn-newsml-dpa-com-20090101-170917-99-86778,"Münster (dpa) - Eine Gruppe von Aktivisten hat am Samstag in Münster einen Infostand der Partei """"""""Alternative für Deutschland"""""""" gestört. Mit weißen Overalls und Atemschutzmasken vermummt protestierten rund 20 Menschen gegen die Partei, wie die Polizei Münster am Sonntag mitteilte. Dabei kam es zu einem Gerangel zwischen AfD-Unterstützern und Aktivisten. Zwei Mitarbeiter des Standes setzten gegen die Vermummten Pfefferspray ein. Diese flüchteten daraufhin. Polizisten konnten wenig später zehn Männer und Frauen im Alter zwischen 19 und 57 Jahren stellen. Zwei Unterstützer der AfD sowie ein Aktivist wurden leicht verletzt. Die Polizei ermittelt wegen des Verdachts auf Körperverletzungen bei beiden Gruppen sowie auf Verstoß gegen das Vermummungsgebot und Störung des Versammlungsrechts aufseiten der Aktivisten.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,817,0.00244798041615667
Österreich: Kurz als neuer Kanzler vereidigt,https://www.spiegel.de/politik/ausland/oesterreich-sebastian-kurz-als-neuer-kanzler-vereidigt-a-1183892.html,"Zwei Monate nach der Wahl ist Sebastian Kurz der neue Regierungschef in Österreich. Bundespräsident Alexander Van der Bellen hat den bisherigen Außenminister in Wien als Bundeskanzler vereidigt. Kurz ist damit jüngster Regierungschef in Europa. Er steht einem Kabinett vor, das acht Minister und Ministerinnen aus den Reihen der konservativen ÖVP und sechs Ressortverantwortliche aus den Reihen der rechten FPÖ hat. Vizekanzler ist FPÖ-Chef Heinz-Christian Strache. Van der Bellen mahnte in einer mehrminütigen Rede die Koalition zu einer verantwortungsvollen Politik gerade auch gegenüber Minderheiten. """"""""Am Umgang mit den Schwächsten zeigt sich, was unsere Werte wirklich wert sind."""""""" (Hier können Sie die Koalitionspläne nachlesen.) Die Vereidigung war begleitet von Demonstrationen. Rund 6000 Menschen hatten sich nach Polizeiangaben auf dem Heldenplatz vor der Hofburg - dem Amtssitz des Bundespräsidenten - versammelt. Die Demonstranten aus der linken Szene skandierten Parolen wie """"""""Nazis raus"""""""" und """"""""Wir wollen keine Nazi-Schweine"""""""". Es ist das zweite Mal in der Geschichte Österreichs, dass ÖVP und FPÖ ein Regierungsbündnis eingehen.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1144,0
Deutschland ist schon seit vielen Jahren im All,https://www.welt.de/wissenschaft/article197132965/Mit-deutschem-Knowhow-zu-Mond-und-Mars.html,"Dass Deutschlands Weg zum Mond über Berlin-Marzahn führt, hätte wohl bis vor kurzem jeder für den Einstieg in einen Witz gehalten. Doch im einst größten Hochhausgebiet der ehemaligen DDR ist die Hoffnungsträgerin Alina zuhause – hinter einem Reifenhandel versteckt in einer unscheinbaren Gewerbeimmobilie. Alina ist ein Mondlandegefährt, das 2021 mit einer Falcon-9-Rakete von Elon Musks Raumfahrtunternehmen Space X auf den Erdtrabanten transportiert werden soll. Dort soll Alina zwei Hitech-Erkundungsfahrzeuge und weitere 100 Kilo Nutzlast absetzen. Erdacht und konstruiert wurde das Vehikel von den Space-Tüftlern PTScientists, die seit 2010 eine steile Entwicklung von einem Startup zu einer mittelständischen Firma genommen haben. Das Geschäftsmodell der Berliner ist es, als Privatunternehmen kostengünstige Nutzlasttransporte anzubieten und sich so als Dienstleister für Raumfahrtbehörden, Wirtschaft und Wissenschaft zu empfehlen. Alina ist das derzeit herausragende Weltraum-Projekt, das Technik und Knowhow Made in Germany vereint, bei weitem aber nicht das einzige. Das galt schon für die Mondlandung, die sich jetzt zum 50. Mal jährt. Der einstige Apollo-Chef Samuel Phillips sagte, die USA hätten ohne Wernher von Braun (1912-1977) wohl erst viel später den Mond erreicht. Der Deutsche schuf die Voraussetzungen für die bemannte Raumfahrt, unter ihm entstand die Saturn-V-Rakete, welche Apollo 11 zum Mond brachte. Wernher von Braun werden schwere Kriegsverbrechen vorgeworfen. Denn während seiner ersten Karriere in Deutschland, in der er für Hitler die V2-Rakete entwickelte (offiziell Aggregat 4 genannt), nahm er den Tod Tausender Zwangsarbeiter und KZ-Häftlinge in Kauf. Die Amerikaner holten nach dem Krieg von Braun und rund 100 weitere Ingenieure in die USA. Pragmatismus zählte, und so konstruierte das Team um von Braun in den 1950er-Jahren die Redstone- und die Jupiter-Raketen. Heute entwickelt eine Vielzahl von Unternehmen hierzulande Komponenten und Bauteile, die in fast allen großen aktuellen und geplanten Raumfahrtmissionen verwendet werden. Sie reisen zum Mond und weit darüber hinaus. In Bremen, einem der wichtigsten Standorte der europäischen Luft- und Raumfahrt, werden die Europäischen Servicemodule (ESM) für das Nasa-Raumschiff Orion gebaut, die das Thermalsystem regeln und Astronauten mit Wasser und Sauerstoff versorgen. Zum ersten Mal überhaupt wurde einem nicht-amerikanischen Unternehmen ein Auftrag für ein derart kritisches und zentrales Modul erteilt. Das erste Modul wurde bereits Ende 2018 an die Nasa geliefert, das zweite ist noch im Bau. Der erste Orion-Flug soll als unbemannte Mission 2020 weit hinter den Mond und zurück zur Erde führen, die zweite ist aktuell für den Sommer 2022 terminiert, dann mit Besatzung. Ob der Mond jemals habitabel wird, lässt sich derzeit nicht einschätzen. Dass er aber als Forschungsstation und Basis für weitergehende Explorationen ins All und damit zumindest zeitweise Menschen als Aufenthaltsort dienen wird, scheint dagegen sicher zu sein. Wie das gelingen kann, ist eine Frage, mit der sich auch Airbus in Bremen beschäftigt. Bis Ende 2019 will der Konzern eine Studie für ein Wohn- und Forschungsmodul vorstellen. Das künstliche Habitat soll 6,5 mal 4,5 Meter messen und rund neun Tonnen wiegen. In einer weiteren Studie geht es um ein Modul zum Auftanken und zur Telekommunikation, das auch als Materialschleuse genutzt werden kann. Beide Studien sind Teil europäischer Partnerschaften. Die für das Gesamtdesign zuständige Nasa will das erste Modul ab 2020 in eine Mondumlaufbahn bringen. „Bei den nun zu entwickelnden lunaren Plattformen gehen robotische und astronautische Weltraumerforschung Hand in Hand“, sagt Oliver Juckenhöfel, Leiter von On-Orbit Services and Exploration bei Airbus. „Europa verfügt in beiden Bereichen über eine fantastische Erfolgsbilanz.“ Diese Projekte könnten eine starke europäische Rolle in der zukünftigen Erkundung des Alls sichern. Kiel ist bereits auf dem Mond – genauer gesagt ein Strahlendetektor des Forschungsteams der Kieler Universität, den die chinesische Raumsonde Chang’e 4 im Januar 2019 auf dem Mond ablud. Erstmals gelang es, eine Sonde auf der von der Erde abgewandten Seite des Mondes zur Landung zu bringen. Mindestens ein Jahr lang soll der Strahlendetektor Daten liefern, doch das Team um Robert Wimmer-Schweingruber hofft auf mehr. Das im All positionierte Relais besitze Energie für drei Jahre. Erforscht wird Strahlung, das für Astronauten größte Risiko im All mit möglichen Langzeitfolgen wie Krebs. Auf dem Mond geht es um die Neutronen-Strahlung, die Wimmer-Schweingruber zufolge im Gegensatz zu anderer Strahlung nicht von Raumanzügen absorbiert werden und so tief in den menschlichen Körper eindringen könne. Die erwarteten Ergebnisse sind also essenziell für die Beantwortung der Frage, wie vor Neutronenstrahlung schützende Unterkünfte auf dem Mond konstruiert werden müssten – und ob das überhaupt möglich ist. Nicht zuletzt dank deutscher Technik weiß man schon viel über den Mars und dessen sich ständig ändernden atmosphärischen Bedingungen. Material liefern die hochauflösende Stereokamera HRSC, die vom Deutschen Zentrum für Luft- und Raumfahrt (DLR) betrieben wird, und die Visual Monitoring Camera (VMC), die die heftigen Stürme am Rand der Nordpoleiskappe beobachtet. Die HRSC ist Deutschlands wichtigster Beitrag zur Mission Mars Express. Das Unternehmen der Europäischen Weltraumorganisation Esa startete 2003 und erreichte den Mars nach sechs Monaten. Bald wird ihn die Sonde fast 20.000 Mal umkreist haben. Mit der Stereokamera wird der Rote Planet dreidimensional und in Farbe kartiert. Die HRSC-Bilder können Gegenstände ab zehn Meter Größe darstellen, selbst Felsbrocken in der Größe einer Garage oder Schichtungen in Sedimentgesteinen lassen sich so identifizieren. Bislang wurde eine Fläche kartiert, die größer ist als Nordamerika. Mit der Mission erhofft man sich Antworten auf fundamentale Fragen zur geologischen und klimatischen Geschichte des Mars. Dass dort einst Leben existiert haben könnte, dafür lieferte die Mission Mars Express einige, wenn auch nur geringe Indizien. Neben Wassereis und Spuren von Methan in der Atmosphäre, das bei vulkanischen Prozessen wie auch bei Verwesung von organischen Materialien entsteht, fand man 2018 in der Nähe des Südpols flüssiges Wasser unter der Oberfläche. Auch mit dem Mars-Radio-Science-Experiment (MaRS) ist Deutschland federführend an der Mission beteiligt. MaRS erforscht Atmosphäre, Ionosphäre und Sonnenkorona, liefert zudem Erkenntnisse über die Oberfläche und Gravitationsanomalien. Der Forschung nach Leben ist auch ExoMars verschrieben, das Raumsondenprojekt der Esa in Zusammenarbeit mit der russischen Raumfahrtagentur Roskosmos. Es startete im März 2016 in den Weltraum. Das Unternehmen erlitt durch den Totalverlust der Landesonde Schiaparelli einen schweren Rückschlag. 2020 soll es dem ExoMars Rover besser ergehen. Überwacht wird er vom Europäischen Raumflugkontrollzentrum (ESOC) in Darmstadt. Der Rover soll vor allem die Suche nach organischem Material durch Bohrungen vorbereiten und dafür mehrere Kilometer auf dem Mars zurücklegen. Ebenfalls beteiligt ist das DLR an der japanischen Mission Martian Moons of eXploration (MMX), die 2024 starten soll. Ziel sind die beiden Marsmonde Phobos und Deimos, auf einem soll ein deutsch-französischer Rover aufsetzen. Die Wissenschaftler erhoffen sich neue Erkenntnisse zur Entstehung unseres Sonnensystems. Noch weiter hinaus zieht es die europäisch-amerikanische Mission Cassini-Huygens. Sie startete im Oktober 1997 und erreichte nach knapp siebenjährigem Flug den Saturn. Cassini-Huygens soll den Gasplaneten und seine Monde genauer erforschen. In Deutschland sind neben dem DLR auch Institute der Max-Planck-Gesellschaft, mehrere Universitäten sowie die deutsche Raumfahrtindustrie mit einer Vielzahl von Messinstrumenten bzw. Komponenten und Beteiligungen an Experimenten involviert. Für Alina und die PTScientists aus Marzahn geht es unterdessen zunächst ums Überleben. Mittel von Investoren und aus Fördertöpfen flossen nicht rechtzeitig, weswegen man vor wenigen Tagen einen Insolvenzantrag stellen musste. Sprecher Andreas Schepers sieht das große Ganze, zu dem auch weitere Beteiligungen an Missionen zählen, jedoch nicht in Gefahr. „Erste Gespräche mit Investoren laufen. Der Betrieb läuft weiter, es gibt überhaupt keine Änderungen an unseren Plänen.“ Gelingt das Einwerben frischen Geldes, soll Alina als wichtigste Fracht zwei je 30 Kilogramm wiegende, solar- und allradgetriebene Fahrzeuge auf der Mondoberfläche platzieren. Die Lunar Quattro Rover wurden gemeinsam mit Audi konzipiert, die sich als Technologiepartner und Sponsor engagieren. Audi erhofft sich von der Mission neue Erkenntnisse für die Materialforschung und zur E-Mobilität mit autonom fahrenden Autos. Rund vier Kilometer sollen die Quattros zurücklegen. Als Zwischenstopp eingeplant ist die Landestelle von Apollo 17 und der bei der bislang letzten bemannten Mondmission 1972 dort zurückgelassene Rover. Von Interesse ist der Zustand des aus Stahl, diversen Kunststoffen und Leder gefertigten Fahrzeugs. Aufgrund der fehlenden Atmosphäre werde man zwar „keine Schäden entdecken, wie sie etwa Regen, Schnee oder Wind auf der Erde verursachen“, so Karsten Becker, Technikchef von PTScientists, wohl aber solche, die „der ständige Einschlag von Mikro-Meteoriten und der starke Unterschied zwischen Tag und Nacht hinterlässt“. Diese Erkenntnisse können wichtig sein für die Materialauswahl beim möglichen Bau künftiger Basen oder Forschungsstationen. Mitnehmen wird Alina auch Komponenten für ein lunares Netz. Mit den ebenfalls als Sponsoren fungierenden Konzernen Nokia und Vodafone soll das erste Mond-Telekommunikationsnetz entstehen, über das Geräte und Fahrzeuge interagieren können. Dank deutscher Technik könnten dann Botschaften wie „The eagle has landed“ demnächst vom Mond aus gesendet werden. Dass die Mondlandefähre „Eagle“ hieß, könnte laut einer gängigen Version auf einem amüsanten sprachlichen Missverständnis beruhen: So sollen die am Apollo-Programm beteiligten zahlreichen deutschen Ingenieure den Lunar Rover in der Entwicklungsphase wegen seiner zahlreichen wie Stachel hervorragenden Bauteile als „Igel“ bezeichnet haben. Amerikanische Kollegen hörten „Eagle“. Der Name gefiel und blieb. Hätte Neil Armstrong bei der Landung sagen müssen, „The hedgehog has landed“, wäre das der majestätischen Komponente der Mission sicher abträglich gewesen. Mehr unter www.welt.de/mond",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,10565,0.000662565073355419
"",https://taz.de/Archiv-Suche/!5239958&s=&SuchRahmen=Print/,"Dass Herr Schubert seinen Kopf verloren hatte, war nicht weiter schlimm, weil er sowieso nicht viel dachte. Hutträger war er auch nicht. Insofern war der Unterschied nicht von Belang oder sogar von Vorteil, denn weil Herr Schubert nicht mehr zum Frisör musste, sparte er Geld. Aber dass er auch sein Herz verloren hatte an Fräulein Knischka aus der Kurzwarenabteilung von Karstadt! Das heißt: Nein, das war gar nicht das Schlimme. Schlimm war vielmehr, dass er es ihr nicht sagen konnte, denn ohne Kopf hatte er keinen Mund. Er konnte sich lediglich damit trösten, dass es anderen genauso erging, die sich nicht trauten, eine Frau anzusprechen, obwohl sie einen Kopf hatten mit einem Mund zum Reden. Also nur Mut, lieber Leser!",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,727,0
Ein idealer Finanzminister für ganz Europa,https://www.welt.de/debatte/kommentare/plus181297794/Jens-Weidmann-Bundesbank-Chef-waere-der-ideale-EU-Finanzminister.html,"Deutschland schwimmt im Geld, aber nicht in Talent. Es sprudeln die Steuereinnahmen, aber der politische Betrieb ist ein stehendes Gewässer, wenn es um Wirtschaft und Finanzen geht. Nun verdichten sich die Gerüchte, dass die Bundeskanzlerin den unbeugsamen Klartexter Jens Weidmann gegen billiges Geld als künftigen EZB-Chef opfert, um einen geländegängigen EU-Kommissionschef aus dem Kanzleramt zu bestellen. Machiavellistisch verständlich, aber in der Sache für die Interessen des Landes ein drohendes Unheil.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,511,0.00391389432485323
Potenzieller Nachfolger des NSU? Von wegen,https://www.welt.de/politik/deutschland/article164116026/Potenzieller-Nachfolger-des-NSU-Von-wegen.html,"In den vergangenen Tagen wurden Abgeordnete des Bundestages in einer geheimen Sitzung über eine Gruppe Rechtsextremisten unterrichtet, die angeblich geplant hatte, gezielt Attentate auf Roma zu begehen. Ursprünglich hatte der bayerische Verfassungsschutz die Gruppe beobachtet, später unterstützt vom Bundesamt für Verfassungsschutz. Das Bundeskriminalamt leitete dann Ermittlungen ein, stellte das Verfahren aber Anfang 2016 ein. Allerdings wird die Gefährlichkeit der Gruppe unterschiedlich bewertet. Für Verwunderung sorgte in Sicherheitskreisen eine Meldung des Magazins „Der Spiegel“. Darin hieß es, dass sich eine „potenzielle Nachfolgegruppe“ des Nationalsozialistischen Untergrunds (NSU) gebildet haben soll. Der NSU war zwischen 1999 und 2007 für zehn Morde und drei Bombenattentate verantwortlich. Im November 2011 hatte sich die Gruppe mit einem Film zu den Taten bekannt. Den Film hatte die rechten Terroristen auf DVDs gebrannt, der Titel der DVD lautete „Frühling“. Die bis 2016 verfolgte Gruppe soll ihre angeblich geplanten Aktionen, die sich gegen Roma richten sollten, „Zweiter Frühling“ genannt haben. Konkrete Zusammenhänge gebe es allerdings nicht zum NSU, so sagten Quellen, die mit dem Vorgang vertraut sind. Auch waren die Vorbereitung der Gruppe nicht so weit fortgeschritten, als dass die Bundesanwaltschaft Anklage erhoben hätte. Dass ausgerechnet in den vergangenen Tagen diese Gruppe von den Sicherheitsbehörden thematisiert wurde, löste in Parlamentskreisen ebenfalls Verwunderung aus. Die Bedrohung durch die Gruppe, zu der vor allem älteren rechtsextreme Kader gehören sollen, schien nach Einschätzung der Sicherheitsbehörden nicht akut zu sein. Bei der für Terror-Verfahren zuständige Bundesanwaltschaft war man in der vergangenen Woche verärgert über einen Artikel der „Welt am Sonntag“, in dem berichtet wurde, dass mehr Zeugen als bisher bekannt bestätigt haben, dass das NSU-Mitglied Uwe Mundlos bei einem Informanten des Verfassungsschutzes gearbeitet hat. Diese Zeugenaussagen werden jedoch unter Verschluss gehalten. Und obwohl es mehrere Zeugen gibt, die die ursprünglichen Recherchen der „Welt am Sonntag“ bestätigen, wurde der Vorgang nicht beim NSU-Prozess in München eingeführt. In Sicherheitskreisen hieß es, dass die Abgeordneten auch deswegen über die angeblich neue Terrorgruppe unterrichtet worden seien, weil mit der Beobachtung der Gruppe begründet worden sei, warum ein umstrittener V-Mann wieder aktiviert worden ist. Der V-Mann war selbst in Verdacht geraten, an einem Bombenanschlag des NSU beteiligt gewesen zu sein. Er wurde daraufhin abgeschaltet. Um Informationen über die rechte Gruppe, die die Aktion „Zweiter Frühling“ geplant haben soll, zu sammeln, wurde er reaktiviert. Und das, obwohl er weiter intern umstritten war. Roma sind in Europa immer wieder von Neonazis angegriffen geworden. In Ungarn hatten rechte Terroristen zwischen 2008 und 2009 allein 55 Roma bei Anschlägen verletzt. In Österreich sind 1995 vier Roma bei einem Bombenanschlag ums Leben gekommen, hinter dem ebenfalls Neonazis steckten.",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3070,0.00130293159609121
Jedes 20. Kind könnte Missbrauchs-Opfer sein,https://www.faz.net/aktuell/gesellschaft/kriminalitaet/jedes-20-kind-in-england-koennte-missbrauchs-opfer-sein-13694029.html,"In England und Wales könnte jedes 20. Kind Opfer von Missbrauch geworden sein. Das sagt die Leiterin einer Untersuchungskommission, die Kindesmissbrauch in weiten Teilen der britischen Gesellschaft aufklären soll. Die neuseeländische Richterin Lowell Goddard startete die Untersuchung am Donnerstag mit einem Jahr Verzögerung. Zuvor hatten zwei vom britischen Innenministerium vorgeschlagene Vorsitzende wegen Befangenheitsvorwürfen aufgeben müssen. Im Zuge der Affäre um den ehemaligen BBC-Entertainer Jimmy Savile waren in Großbritannien verheerende Missstände quer durch alle Bevölkerungsschichten aufgedeckt worden. Vorwürfe des Kindesmissbrauchs wurden bis hinein in höchste politische Kreise laut. Unter anderem sollen neben zahlreichen Unterhaltungsstars im Umfeld der BBC der inzwischen gestorbene frühere Innenminister Leon Brittan sowie weitere hochrangige Politiker beteiligt gewesen sein. In mehreren Städten flogen Ringe von Kinderschändern etwa in der Taxifahrer-Szene auf. „All das hat Narben hinterlassen, nicht nur bei den Opfern, sondern auch in der Gesellschaft“, sagte Goddard zum Auftakt der Untersuchung. „Niemand, egal wie mächtig, wird in der Lage sein, unsere Ermittlungen zu behindern“, kündigte sie an. Es gebe Anzeichen für systematisches Herunterspielen und Falschdarstellung bei Polizei und anderen Behörden. Die Untersuchung soll mehrere Jahre dauern.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1382,0.00361794500723589
Die Kraut,https://taz.de/Archiv-Suche/!338810&s=&SuchRahmen=Print/,"Frenetischer Digitaljubel am Freitag, als kurz nach 13 Uhr die Zahl 15.000 geknackt war: So viele Menschen unterstützen im nächsten Jahr das Onlinemagazin der Krautreporter. Für 60 Euro dürfen sie es nicht nur lesen, sondern auch kommentieren, mit den Autoren diskutieren und damit am Magazininhalt mitwirken. Zwar ist das Crowdfunding jetzt offiziell beendet, die Kraut wächst aber trotzdem weiter: Mittlerweile steht die Unterstützerzahl bei knapp 17.000.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,457,0
Neun Jahre Haft für Robinho,https://taz.de/Archiv-Suche/!5466142&s=/,"ROM afp | Der brasilianische Fußballer Robinho ist laut italienischen Medienberichten wegen Gruppenvergewaltigung einer jungen Frau zu neun Jahren Haft verurteilt worden. Den Berichten zufolge verkündete ein Mailänder Gericht das Urteil am Donnerstag in Abwesenheit des 33-Jährigen. Laut Corriere della Sera soll Robinho im Januar 2013 gemeinsam mit fünf Freunden das Opfer betrunken gemacht und anschließend vergewaltigt haben. Robinho wies die Vorwürfe in Mitteilungen unter anderem über Facebook zurück. Die Staatsanwaltschaft hatte zehn Jahre Gefängnis gefordert. Seine Verteidigung ging in Berufung, bis zur Entscheidung bleibt die Vollstreckung ausgesetzt. In einer Erklärung der Verteidiger hieß es, Robinho sei an dem „Vorfall“ nicht beteiligt gewesen. Ein brasilianischer Freund Robinhos wurde ebenfalls zu neun Jahren Haft verurteilt. Die anderen vier Angeklagten waren laut Gericht nicht auffindbar. Robinho und sein Freund müssen der Frau zudem 60.000 Euro zahlen. Der brasilianische Stürmer stand seinerzeit beim AC Mailand unter Vertrag. Derzeit spielt der 33-Jährige in seiner Heimat bei Atletico Mineiro. Es ist nicht das erste Mal, dass der Fußballer mit derartigen Vorwürfe konfrontiert ist. 2009 wurde er von der britischen Polizei wegen Anschuldigungen einer Frau befragt, gegen die er in einer Discothek im englischen Leeds gewalttätig geworden sein soll. Damals spielte Robinho für Manchester City. Die Vorwürfe wurden schließlich nicht weiter verfolgt. Robinho gehörte bei den WM-Turnieren 2006 und 2010 der brasilianischen Nationalelf an. Er gewann zahlreiche Vereinsmeisterschaften. Einen seiner größten Erfolge feierte er bei der Copa América 2007, der Südamerika-Meisterschaft für Nationalmannschaften, bei der Brasilien den Titel gewann. Er wurde Torschützenkönig und zum besten Spieler des Turniers gewählt wurde.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,1842,0.00325732899022801
AfD-Delegation trifft Assad-Anhänger in Damaskus,https://www.sueddeutsche.de/politik/konflikte-afd-delegation-trifft-assad-anhaenger-in-damaskus-dpa.urn-newsml-dpa-com-20090101-180306-99-367115,"Berlin (dpa) - Eine Gruppe von AfD-Politikern ist nach Damaskus gereist, um die Forderung ihrer Partei nach einer Rückkehr der in Deutschland lebenden syrischen Flüchtlinge zu unterstreichen. Die Abgeordneten veröffentlichten in sozialen Netzwerken Fotos, die sie unter anderem bei einem Treffen mit dem syrischen Großmufti Ahmed Hassun zeigen. Hassun hatte 2011 gedroht, sein Land werde im Falle einer westlichen Intervention Selbstmordattentäter nach Europa und Amerika schicken.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,481,0.00415800415800416
