title,url,text,crime
Ray Jasper in Huntsville hingerichtet,https://www.faz.net/aktuell/gesellschaft/frueherer-rapper-ray-jasper-in-huntsville-hingerichtet-12855740.html,"Mit einer Giftspritze ist der frühere Rapper Ray Jasper im amerikanischen Bundesstaat Texas hingerichtet worden. Einen Tag nach der Entscheidung des Obersten Gerichtshofs der Vereinigten Staaten, das Verfahren gegen den 33 Jahre alten Afroamerikaner nicht wieder aufzunehmen, wurde er am Mittwochabend im Gefängnis in Huntsville mit Pentobarbital exekutiert. Jaspers Anwälte hatten mehrfach eine Wiederaufnahme gefordert, da bei dem Prozess im Jahr 2000 angeblich ein potentieller Juror wegen seiner schwarzen Hautfarbe abgelehnt worden war. Zudem hatte ihr Mandant stets bestritten, den Tonstudiobetreiber David Alejandro erstochen und beraubt zu haben. Vielmehr hätten die beiden Mittäter den Mann ermordet. Jasper ist der dritte Todeskandidat, der seit Jahresbeginn in Texas exekutiert wurde.",Ja
Kinotipp,https://taz.de/Archiv-Suche/!233065&s=&SuchRahmen=Print/,Der Jurist Fritz Bauer war vom bürgerlichen Widerstandsrecht gegen Willkürakte des Staates überzeugt. Als niedersächsischer Generalstaatsanwalt erreichte er in einem Prozess 1952/53 die Rehabilitierung der hingerichteten Verschwörer des 20. Juli 1944 – erstmalig in Deutschland war damit das NS-Regime von einem Gericht zum Unrechtsstaat erklärt worden. Das Lichtblick-Kino zeigt die Dokumentation Ilona Zioks „Fritz Bauer – Tod auf Raten“ um 18. 30 Uhr.,Nein
Boston-Bomber bittet um Entschuldigung,https://www.faz.net/aktuell/politik/ausland/amerika/dzokhar-tsarnaev-boston-bomber-bittet-um-entschuldigung-13666832.html,"Der zum Tode verurteilte Bombenleger beim Boston-Marathon, Dzokhar Tsarnaev, hat sich für seine Taten entschuldigt. Er bedauere, Menschen getötet und Leid sowie nicht wieder gutzumachenden Schaden verursacht zu haben. „Ich möchte mich gern bei den Opfern und Überlebenden entschuldigen“, sagte der 21 Jahre alte Täter am Mittwoch laut der Zeitung „The Boston Globe“. Er bete zu Allah, dass er ihm gnädig sei. Es war das erste Mal, dass Tsarnaev sich in dem Gerichtsverfahren zu Wort meldete. Er war Mitte Mai von den Geschworenen verurteilt worden. Nun verlas Richter George O’Toole das Urteil auch offiziell. „Wann auch immer Ihr Name fällt, wird man sich an das Böse erinnern, das Sie getan haben“, sagte er. „Sie haben unschuldige Menschen ermordet und verstümmelt, und Sie haben das absichtlich getan.“ Tsarnaev hatte im April 2013 mit seinem älteren Bruder Tamerlan zwei Sprengsätze am Zieleinlauf des Marathons gezündet. Drei Menschen starben, darunter ein achtjähriger Junge, 260 wurden verletzt. Es war der schwerste Anschlag in den Vereinigten Staaten seit den Terrorattacken vom 11. September 2001. Auf die Doppel-Explosion folgte eine tagelange Verfolgungsjagd mit der Polizei, bei der sowohl ein Polizist als auch Tamerlan in einem Schusswechsel getötet wurden.",Ja
Das Boot ist toll,https://www.faz.net/aktuell/feuilleton/geburtstag-von-lee-perry-das-boot-ist-toll-14133161.html,"Bevor Taschencomputer und Stöpselkopfhörer das Wissen darüber ganz vertrieben haben, wie das ist, wenn aus einem riesengroßen Lautsprecher ein Schlagzeug sein Geschwisterchen, das Menschenherz, zum Tanzen auffordert, während der Bass als sprechender Blutkreislauf eines Engels das Gehör verflüssigt, bis es sich für einen Gesichts- und Geschmackssinn hält, der Leuchten und Süße wahrnimmt, wo Fülle und Tiefe sind – bevor das alles Geschichte wird, weil die Leute nur noch Medien benutzen, die das Großerlebnis Musik zum Nebengeräusch verniedlichen, sollte man sich dem Schaffen von Lee „Scratch“ Perry noch einmal rückhaltlos ausliefern. Man erlebt dann die einzige Spielart der köstlichen Lähmung „Klangrausch“, die zugleich Entrückung ist und weder jemanden überwältigen, noch irgendetwas Ausgedachtes verherrlichen will. Und wenn es der Moment, an dem man sich dem Sound ergibt, dann besonders gut meint, wird man plötzlich verstehen dürfen, was diese Stimme eigentlich mitteilt, dieses erdig-außerirdische, knarzknackig trällernde Organ, das sich in Hall zu kleiden weiß wie ein früher Sommermorgen in klare Himmelsweite und dabei unverständliche Weisheiten über Clint Eastwood und das Recht auf Ruhm zum Besten gibt oder die Ankunft eines Astronauten ankündigt, der die Ohren auf eine weite Reise mitnehmen wird, die zwar ins reine Nichts zwischen den Sternen führt, dabei aber so wiegend und schaukelnd vonstatten geht wie ein Weg übers Meer bei heiter ungefährlichem Seegang. Lee (eigentlich: Rainford oder Reinford Hugh) Perry hat als Produzent das mit erfunden, was man „Reggae“ nennt, und das mit definiert, was man als „Dub“ kennt. Von wo auch immer man sich diesen Stilen nähert, stets winkt eine Ahnung von Monotonie lässig herüber wie der Kapitän eines kleinen Frachters, der Tonnen von milden Drogen geladen hat und gleich anlegen wird – na, gleich, bald, nicht sofort, morgen ist auch noch ein Tag, gemächlich, allmählich: Sie trifft nie ganz ein, diese erwartete Monotonie, die Heidegger wohl „das Ein-Tönige“ genannt hätte, sie bleibt angekündigt und unerfüllt, denn im entscheidenden Moment schreit (wie auf einer der allerallerersten Reggae-Platten, nach Meinung mancher: der ersten echten, „People Funny Boy“, produziert von Perry) ein Baby, das sich darüber freut, dass nur Musik, nicht Sprache, es taufen kann, oder irgendein Akzent wird kaum merklich so verschoben, dass oben nach unten kippt und hinten sich mit einem Mal vorne zeigt, wie bei der Verschiebung eines einzigen Wortes in einem Satz oder der Ersetzung mehrerer Wörter durch andere – statt „Das hört sich doch alles gleich an“ also etwa „Das höre ich mir doch gleich alles an“. Diesen zweiten Satz mag sagen, wer begreift, was sich in der Monotonieverheißung bedeutender Schlepp- oder Schnappmusik, also etwa in Doom Metal, Minimal Techno, Surfmusik, Drone Rock oder bei manchen Bluesleuten, so ungreifbar wie unbestreitbar durch die besten Stücke schlängelt: die nervenelektrische Beweglichkeit mikromusikalischen Denkens nämlich. Wenigen ist dieses Denken so sehr zweite Natur wie Perry, bei dessen Kunst die Empfindung „immer das Gleiche“ nur da aufkommt, wo man falsch hört, nämlich „sich konzentriert“, um die Werke zu lesen wie Gedichtzeilen, während man sich in Wahrheit darin umsehen sollte wie an einem Ort, den nie zuvor ein Mensch betreten hat.",Nein
Auch mal wieder über was anderes reden als Flüchtlinge,https://www.sueddeutsche.de/politik/koalitionskrise-auch-mal-wieder-ueber-was-anderes-reden-als-fluechtlinge-1.4040005,"Selbst das kitschigste Liebeslied kann im richtigen Moment ein politischer Seitenhieb sein. Die Frau mit der Gitarre singt: I think I wanna marry you, grinst dabei, das Publikum in der Berliner Kulturbrauerei lacht lauthals und die drei auf der Bühne lächeln nur ein bisschen: Stefan Liebich, Bundestagsabgeordneter der Linken, Annalena Baerbock, Parteichefin der Grünen, und Juso-Chef Kevin Kühnert haben bis vor wenigen Minuten miteinander diskutiert über eine Hoffnung: Mitte-Links. Liebich hat die Veranstaltung organisiert, will wissen: Wird das doch noch irgendwann was mit einer rot-rot-grünen Koalition? Und um eines gleich zu sagen: Es ist nicht so, dass sich die drei auf der Bühne nicht mögen. Im Gegenteil. Sie duzen sich, sie sind in fast allen Fragen einer Meinung, übrigens auch mit den Leuten im Publikum, die fast nach jeder Antwort, die einer der Politiker gibt, laut klatschen. Das Interessanteste an dieser Veranstaltung ist, dass sie in so augenfälligem Kontrast dazu zu stehen scheint, was draußen passiert. Die Union hat sich im Streit um die Migrationspolitik fast zerlegt, zur Stunde muss sich die SPD verkürzt gesagt überlegen, ob sie eine weitere Verschärfung des Asylrechts mitträgt oder die Regierung platzen lässt. Ein viel beklagter Rechtsruck, der sich auch in den politischen Mehrheitsverhältnissen wiederspiegelt. Seit der letzten Bundestagswahl hätten SPD, Linke und Grüne ohnehin nicht mehr genügend Sitze, um gemeinsam eine Koalition zu bilden. Der Innenminister präzisiert seine Vorstellungen von den geplanten Transitzentren. Nach spätestens 48 Stunden sollen die Flüchtlinge wieder in die Länder gebracht werden, aus denen sie gekommen sind. Liebich beklagt das: Wir hatten ja schon bessere Zeiten. Es hat bloß keiner bemerkt. Er spielt auf die letzte Wahlperiode an, als es noch eine rot-rot-grüne Mehrheit gegeben hätte: Warum hat die SPD nicht schon lange vor der Wahl die Koalition mit der Union aufgelöst und ein neues Bündnis versucht? Kevin Kühnert, der SPD-Vertreter in der Runde, kann dazu auch nicht viel sagen. Weiß ja eh jeder, dass er so gut wie nie mit seiner Parteispitze einer Meinung ist. Auch Liebich weiß das und sagt: Na ja, das ist jetzt Hätte-Hätte-Fahrradkette. Kühnert ist sich aber mit Liebich und Baerbock einig, dass es ein großer Fehler gewesen ist, dieses Bündnis so lange auszuschließen. Er habe oft an den Wahlkampfständen erlebt, dass die Leute eigentlich ganz angetan gewesen seien von den Ideen der SPD, sagt Kühnert: Aber dann kam immer die Frage: Und mit wem wollt ihr das durchsetzen? Der Verzicht auf Rot-Rot-Grün sei da nicht nur gegenüber dem Wähler fatal. Auch für die Union sei er eine Lebensversicherung für ihren Verbleib in der Bundesregierung gewesen. Kühnert fordert deswegen, dass die drei Parteien sofort Gespräche auf Spitzenebene beginnen sollten. Wenn es die Mehrheitsverhältnisse irgendwann wieder gibt, fände ich es unverantwortlich zu sagen: Wir brauchen jetzt aber acht Jahre Vorlauf. Auch Annalena Baerbock wünscht sich das - und begründet es unter anderem mit den Erfahrungen der Jamaika-Verhandlungen. Sie habe an diesen aus der Überzeugung heraus teilgenommen, dass es in einer möglichen Regierung ein linkes Gegengewicht zur Union und zur FDP geben müsse, habe dann jedoch feststellen müssen: Wir haben da über Wochen aneinander vorbeigeredet. Union und FDP auf der einen und die Grünen auf der anderen Seite unterscheide das Weltbild, die Lebensrealität. Das sei mit den linken Parteien anders, es gebe viele Überschneidungen. Wenn ich da zum Beispiel über Gender rede, dann kommt nicht die ganze Zeit: Was is'n das? Also die Linken da, die Rechten da? So einfach ist das beileibe nicht. Denn der Konflikt, der die deutsche Gesellschaft spaltet, er spiegelt sich auch in den linken Parteien wider. Nicht nur die SPD ringt um Haltung in der Flüchtlingsfrage. Zielsicher zieht Moderatorin Sabine Rennefanz, Journalistin der Berliner Zeitung, den jüngsten Gastbeitrag von Linken-Fraktionschefin Sahra Wagenknecht in der Welt aus der Tasche und zitiert fein lächelnd einige Passagen. Auf dem Parteitag spaltet die Fraktionschefin mit ihren flüchtlingspolitischen Vorstellungen - und erhält gleichermaßen Buh-Rufe wie Applaus. Weltoffenheit, Antirassismus und Minderheitenschutz sind das Wohlfühl-Label, um rüde Umverteilung von unten nach oben zu kaschieren und ihren Nutznießern ein gutes Gewissen zu bereiten, heißt es dort, Ehe für alle und sozialer Aufstieg für wenige, Frauenquote in Aufsichtsräten und Niedriglöhne dort, wo vor allem Frauen arbeiten, staatlich bezahlte Antidiskriminierungsbeauftragte und staatlich verursachte Zunahme von Kinderarmut in Einwandererfamilien. Perfide findet das Kevin Kühnert. Wagenknecht lasse den Eindruck entstehen, es gebe keine Einheit zwischen der sogenannten Identitätspolitik und sozialer Gerechtigkeit. So, als säßen die jeweiligen benachteiligten Gruppen auf einer Wippe: Wenn für die eine etwas getan wird, geht es für die andere bergab. Am Ende sind Schwule und Lesben schuld, dass viele Ärmere nicht zu ihrem Recht gekommen sind.",Nein
Android-Miterfinder: Andy Rubin verlässt Google,https://www.spiegel.de/netzwelt/web/google-android-miterfinder-andy-rubin-verlaesst-unternehmen-a-1000318.html,"Andy Rubin, der als Vater des dominierenden Smartphone-Betriebssystems Android gilt, hat Google verlassen. Der Manager, der zuletzt ein ambitioniertes Roboter-Projekt anführte, starte nun einen Inkubator für Technik-Startups, berichtetet das Wall Street Journal. Google hatte die von Rubin mitgegründete Firma Android 2005 gekauft. Auf Basis der Software wurde ein Smartphone-Betriebssystem entwickelt, das Google Geräteherstellern kostenlos zur Verfügung stellte. Android hatte zuletzt einen weltweiten Marktanteil von mehr als 80 Prozent. Rubin war im Frühjahr 2013 als Android-Chef von Google-Manager Sundar Pichai abgelöst worden, der zuletzt auch die Verantwortung für viele andere Produkte des Konzerns übernahm. Rubin verschwand zunächst von der Bildfläche, dann wurde bekannt, dass er ein Projekt zur Roboter-Entwicklung leitet, für das Google mehrere Spezialunternehmen kaufte. Dazu gehörte auch die Firma Boston Dynamics, die laufende Roboter unter anderem für das US-Militär entwickelte. Rubin sagte der New York Times damals, es sei ein auf zehn Jahre ausgelegtes Projekt. Etwas Neues auf eigene Faust aufbauen Das Wall Street Journal schreibt jetzt unter Berufung auf Google-Kreise, Rubin sei bei seinen Aktivitäten auf Einschränkungen gestoßen. Der Manager selbst erklärte in einer E-Mail an die Zeitung, es habe keine Probleme mit Unabhängigkeit bei Google gegeben, und das Roboter-Projekt sei genau nach seinen Wünschen gelaufen. Er sei gegangen, weil er etwas Neues auf eigene Faust aufbauen wolle.Das Roboter-Projekt soll künftig vom Forscher James Kuffner angeführt werden, der bereits zum Team gehört. Google-Chef Larry Page dankte Rubin in einer Stellungnahme für den Erfolg von Android. Rubin habe mit der Entwicklung des Android-Systems etwas wirklich Bemerkenswertes geschaffen, schrieb Page in einer E-Mail an die Nachrichtenagentur AFP, in der er den Weggang des Managers bestätigte.",Nein
Izzet S. soll zwei Menschen getötet haben - Mutmaßlicher Doppelmörder von Rott am Inn ist tot,https://www.bild.de/regional/muenchen/muenchen/rott-am-inn-taeter-tot-51737354.bild.html,Straubing – Der mutmaßliche Doppelmörder von Rott am Inn ist tot.  Izzet S. (25) wurde leblos in seinem Zimmer in der forensischen Klinik Straubing gefunden. Nach Polizeiangaben vom Sonntag ist Fremdverschulden auszuschließen. Der Darstellung zufolge spricht vieles für einen Suizid. Die Staatsanwaltschaft ordnete eine Obduktion an. Klinikmitarbeiter hatten den Mann am Freitag gefunden.  Izzet S. soll im Februar in einem Mehrfamilienhaus eine 66-Jährige und einen 73-Jährigen erstochen haben. Der Tat voraus war ein Streit um Lärm zwischen den Opfern und einer 20-jährigen Bekannten des Mannes gegangen. Drei Wochen vor der Tat war der mutmaßliche Täter aus einer psychiatrischen Klinik ausgebrochen. Mehr aktuelle News aus München und Umgebung lesen Sie hier auf muenchen.bild.de. Sind Sie bei Facebook? Werden Sie Fan von BILD München,Ja
Nasdaq plant Bitcoin-Future,https://www.faz.net/aktuell/finanzen/finanzmarkt/nasdaq-plant-bitcoin-future-15316468.html,"Der Bitcoin-Hype ruft die großen Börsenbetreiber auf den Plan. Neben der weltgrößten Terminbörse CME will Insidern zufolge auch der Konkurrent Nasdaq einen Future auf die Cyber-Devise auflegen. Die Einführung sei für 2018 geplant. Die CME will mit ihrem Kontrakt bereits im Dezember starten. Ihre Rivalin CBOE arbeitet an ähnlichen Plänen. Die amerikanische Börsenaufsicht muss die Einführung neuer Futures genehmigen. Im Frühjahr hatte sie den Antrag auf einen börsennotierten Bitcoin-Fonds (ETF) noch abgeschmettert. Mit Futures können Anleger auf steigende und fallende Kurse wetten. Die Pläne der CME sind ein Grund für die aktuelle Bitcoin-Rally. Der Kurs der Internet-Währung stieg binnen weniger Tage von etwa 8000 auf gut 11.000 Dollar. Vor dem Hintergrund der Bitcoin-Rekordjagd hat sich derweil die türkische Religionsbehörde Diyanet gegen die Verwendung von Digitalwährungen ausgesprochen. „Der Kauf und Verkauf von virtuellem Geld ist gegenwärtig aus religiöser Sicht nicht angemessen, teilte die Behörde in einer von der Zeitung Habertürk veröffentlichten Antwort auf die Anfrage eines Gläubigen mit. Zur Begründung teilte die Behörde mit, Bitcoins seien Gegenstand von Spekulationen, könnten für illegale Transaktionen wie Geldwäsche genutzt werden und seien außerhalb staatlicher Kontrolle.",Nein
Anklage fordert lebenslang für Pärchen,https://www.faz.net/aktuell/rhein-main/anklage-fordert-lebenslaenglich-fuer-paerchen-im-mordprozess-15652061.html,"Getötet wegen eines Autos: Im Mordprozess gegen ein junges Paar aus Zwickau hat der Staatsanwalt am Donnerstag eine lebenslange Haftstrafe für den 20 Jahre alten Angeklagten gefordert. Anders als seine 17 Jahre alte Freundin müsse er wie ein Erwachsener bestraft werden, sagte Oberstaatsanwalt Holger Illing in seinem Plädoyer vor dem Landgericht Zwickau. Für die Jugendliche hielt er acht Jahre und sechs Monate Jugendstrafe für angemessen. Das Paar hatte sein Opfer nach der Tat bei Niederaula in Osthessen in die Fulda geworfen. Die Leiche wurde erst drei Monate später von einem Spaziergänger entdeckt. Zwar sei es Johnny H. gewesen, der im November 2017 einen 45 Jahre alten Mann aus Gera hinterrücks erstochen habe, um an dessen Auto zu kommen, sagte Illing weiter. Doch beide hätten die Tat gemeinsam geplant. Die Verteidigerin der angeklagten Minderjährigen forderte einen Freispruch für ihre Mandantin. Der Rechtsanwalt des Mannes sprach sich für die Anwendung des Jugendstrafrechts aus und beantragte sechseinhalb Jahre Haft für den 20 Jahre alten Angeklagten",Ja
Monster vom Oggenrieder Weiher soll umgezogen sein,https://www.faz.net/aktuell/gesellschaft/lotti-von-oggenried-wechselt-in-dorfteich-13005482.html,"Die Aufregung um die angebliche Alligator-Schildkröte Lotti geht weiter: Gut zehn Monate nach den rätselhaften Ereignissen am Oggenrieder Weiher bei Irsee (Ostallgäu) gibt es neue Hinweise auf das gesuchte Tier. „Eine Anwohnerin hat sich gemeldet, die die Schildkröte gesehen hat“, sagte Irsees Bürgermeister Andreas Lieb am Montag. Allerdings habe sie das Reptil nicht im Oggenrieder Weiher, sondern im ehemaligen Klosterteich mitten im Dorf entdeckt. In der Hoffnung, Lotti nun doch noch zu fangen, setzten Gemeindemitarbeiter am Montag eine Lebendfalle mit tierischen Innereien als Köder in den Karpfenteich. Lieb hat keine Zweifel an der Beobachtung der Bürgerin und schöpft neue Hoffnung. „Wir gehen jedem Hinweis nach – und irgendwann habe ich Lotti in den Händen.“ Auch den Erzählungen der Frau, sie habe eine Ente in den Teich gesetzt und gesehen, wie das Tier plötzlich „vom Untergrund aufgesaugt wurde“, schenkt der Bürgermeister Glauben. „Das würde wie die Faust aufs Auge passen. Der Fischweiher ist das ideale Gelände für die Schildkröte.“ Die rund 300 Meter Entfernung zwischen dem Oggenrieder Weiher und dem Klosterteich seien für Lotti kein Problem. „Man hat mir gesagt, dass diese Tiere am Tag bis zu drei Kilometer laufen.“ Ein achtjähriger Junge hatte im vergangenen Sommer im Oggenrieder Weiher eine blutende Fußverletzung erlitten; zweimal wurde seine Achillessehne durchtrennt. Fachleute sagten, dass es sich um den Biss einer Alligator-Schildkröte handeln könnte. Seitdem wird nach Lotti, wie das Reptil genannt wird, gesucht – bislang allerdings ohne Erfolg. Inzwischen darf in dem Naturbadesee wieder gebadet werden.",Nein
