title,url,text,angeklagt,anwalt,attacke,begangen,bel�stigung,beschuldigt,betrug,betr�ger,bezichtigt,brandstiftung,dealer,delikt,diebstahl,drogen,ehebruch,entf�hrung,ermittelt,erpressung,erstochen,festnahme,folter,gef�hrder,gericht,get�tet,haft,inzest,missbrauch,missbrauchs,misshandlung,mord,morde,mordes,n�tigung,opfer,polizei,prozess,raub,sexuelle,sexuellen,sexueller,staatsanwalt,staatsanw�ltin,staatsanwaltschaft,straftat,t�ter,t�terin,todesfolge,totschlag,t�tung,�berfall,�bergriffe,untreue,verbrechen,vergehen,vergewaltigung,verletzung,versuchter,vorwurf,sum,ntokens,mig_share
Schweden ermittelt gegen Volkswagen,https://taz.de/Archiv-Suche/!5265399&s=&SuchRahmen=Print/,"STOCKHOLM | Im Volkswagen-Abgasskandal hat Schweden strafrechtliche Ermittlungen gegen VW eingeleitet. Es bestehe der Verdacht auf Betrug und Nutzung falscher Dokumente, sagte Anti-Korruptions-Staatsanwalt Alf Johansson gestern. Im Falle eines Schuldspruchs müsste der Autobauer Strafe zahlen. Nach Angaben der Staatsanwaltschaft hat die schwedische VW-Tochter zugesagt zu kooperieren. Auf wie viele Autos sich die Manipulationsvorwürfe beziehen, konnte Johansson nicht sagen. (ap)",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,481,0.00623700623700624
BILD-WM-News: Heute Härte-Test für Mats Hummels,https://www.bild.de/sport/fussball/wm-2014/heute-haerte-test-fuer-hummels-36465910.bild.html,"Jeden Morgen 8 Uhr auf BILD: Unsere WM-News im Video! Was ist heute wichtig? Was gibt es Neues aus dem Lager der Nationalmannschaft? Worüber diskutiert Fußball-Deutschland? Bei uns bekommen Sie auf einen Klick alle Infos. Schnell. Exklusiv.Heute: Der BILD-Reporter übt sich als Popstar, singt die Engländer zurück auf die Insel. Und die wichtigste Frage vor dem Ghana-Spiel: Wird Mats Hummels noch fit? Ein Härte-Test soll die Antwort bringen. Und natürlich haben wir die schönsten Tore und größten Aufreger für Sie noch einmal im Video. Die WM-News auf BILD – Ihr tägliches Update. Die Highlight-Clips der Fifa-WM sind jeweils 72 Stunden lang abrufbar bei BILD.de",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,664,0.00150602409638554
"Keine """"""""""""""""Spielchen"""""""""""""""" mehr: Müller ruft Berliner SPD zur Ordnung",https://www.sueddeutsche.de/politik/parteien-keine-spielchen-mehr-mueller-ruft-berliner-spd-zur-ordnung-dpa.urn-newsml-dpa-com-20090101-171110-99-818859,"Berlin (dpa) - Sieben Wochen nach dem Fiasko der Berliner SPD bei der Bundestagswahl hat Regierungs- und Parteichef Michael Müller seine zerstrittene Partei zur Ordnung gerufen. Bei einem Landesparteitag forderte er in einer phasenweise sehr kämpferischen und mit starkem Beifall bedachten Rede ein Ende der persönlichen Angriffe und offenen Flügelkämpfe in der Partei. """"""""Es muss aufhören, diese Spielchen, die dusseligen Facebook- Kommentare zu jedem und über jeden"""""""", sagte Müller. Die öffentlich ausgetragenen Scharmützel - Müller sprach von einem """"""""Schauspiel"""""""" - schadeten der Partei und nützten am Ende nur der Opposition. Bei der Bundestagswahl am 24. September hatte die Berliner SPD mit 17,9 Prozent ihr schlechtestes Ergebnis aller Zeiten eingefahren. Zudem votierte die Mehrheit bei einem Volksentscheid für die dauerhafte Offenhaltung des Flughafens Tegel und stellte sich damit gegen die Linie des rot-rot-grünen Senats. Folge war öffentlicher Streit, der in Rücktrittsforderungen gegen Müller und einem Brandbrief von 14 der 38 SPD-Abgeordneten gegen ihren Fraktionschef Raed Saleh gipfelten. Der gilt als innerparteilicher Gegenspieler Müllers und musste sich in dem Brief heftige Kritik an seiner Arbeit und seinem Führungsstil gefallen lassen. Auseinandersetzungen in der Öffentlichkeit, Drohungen, die Vergabe von Posten nur bei Wohlverhalten: """"""""Alles das muss aufhören"""""""", forderte Müller. """"""""Wer soll eigentlich Respekt vor unserer Arbeit haben und unsere Arbeit würdigen, wenn wir uns nicht miteinander diesen Respekt entgegenbringen?"""""""", fragte er. Um die SPD wieder inhaltlich nach vorne zu bringen, sei eine sachliche, konstruktive und auch kritische Auseinandersetzung nötig. """"""""Die ist willkommen, in jedem Gremium, in jeder Versammlung, in der wir zusammen sind. Die Kritik an mir ist willkommen"""""""", so Müller. Saleh sagte, die Lage für die SPD sei ernst. """"""""Das Vertrauen in uns, in die SPD ist beschädigt. Dafür tragen wir alle Verantwortung."""""""" Es sei völlig legitim, dass sich Parteimitglieder Gedanken machten, wie die SPD wieder in die Erfolgsspur kommen könne. """"""""Partei, Senat und Fraktion müssen gemeinsam an der Sache orientiert anpacken, um uns gemeinsam aus diesem Tal herauszuführen."""""""" Die SPD müsse sich auch um eine funktionierende Verwaltung und mehr Sicherheit kümmern.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2305,0.000433839479392625
Trump: USA wird weniger in fremde Staaten eingreifen,https://www.sueddeutsche.de/politik/wahlen-trump-usa-wird-weniger-in-fremde-staaten-eingreifen-dpa.urn-newsml-dpa-com-20090101-160815-99-92271,"Youngstown (dpa) - Donald Trump hat für eine US-Außenpolitik unter seiner Präsidentschaft ein Umdenken bei Interventionen in fremden Ländern versprochen. """"""""Die Ära des Formens von Staaten wird sehr schnell und entschieden beendet"""""""", sagte der Kandidat der Republikaner für die US-Präsidentschaft bei einer außenpolitischen Rede in Youngstow. Die Strategie, Regimewechsel herbeizuführen, sei nicht erfolgreich gewesen, sagte Trump. Der Kampf gegen die Ausbreitung des radikalen Islamismus werde das Hauptziel der USA unter Trumps Präsidentschaft sein, kündigte der Kandidat der Republikaner an.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,593,0.00505902192242833
Parteien kämpfen um Rathäuser und Prestige,https://www.welt.de/regionales/duesseldorf/article129046380/Parteien-kaempfen-um-Rathaeuser-und-Prestige.html,"Ullrich Sierau radelte die Dortmunder Ruhrallee entlang, als ein Polizeiwagen ihn stoppte. Der Grund: Während des Radfahrens hatte Sierau unerlaubterweise telefoniert. Doch die Beamten hatten gar keine Zeit, ihm dies zu erklären. Sierau baute sich vor ihnen auf, wie sie später berichteten, und raunzte sie an: Ob sie wüssten, wen sie vor sich hätten? Er sei Dortmunds Oberbürgermeister und werde sich beim Polizeipräsidenten über sie beschweren. Die Polizisten trollten sich – ohne das fällige Verwarngeld zu kassieren. Derlei Auftritte des Dortmunder Stadtoberhaupts sind nicht ganz selten. Mal machte der Sozialdemokrat verunsicherte Ratsmitglieder der Grünen öffentlich nieder, mal faltete er Verwaltungsmitarbeiter zusammen, mal schüchterte er Polizisten ein. So einige Mitglieder der Polizeigewerkschaft GdP, aber auch Ratspolitiker knirschten daher, die nächste Wahl komme bestimmt – und dieser Wahltag werde für Sierau, bei all seinen unbestreitbaren Macher-Qualitäten, zum Zahltag. Der Tag ist gekommen. Am Sonntag finden in 41 Kommunen Stichwahlen statt ums Amt des Oberbürgermeisters, des Bürgermeisters oder des Landrats. Im ersten Wahlgang am 25. Mai erhielt dort kein Kandidat die erforderliche Mehrheit. Doch wer künftig an der Spitze von Städten oder Kreisen das Zepter schwingt, juckt die Bürger nur wenig. Die Wahlbeteiligung im zweiten Wahlgang liegt in aller Regel noch niedriger als im ersten. Und weil vor drei Wochen meist nicht einmal jeder zweite seine Stimme abgab, wird nun vielerorts mit Nichtwähleranteilen von 60 bis 70 Prozent gerechnet. Den Kampf gegen die Gleichgültigkeit wird die Kommunalpolitik also auch heute wieder verlieren. Und das ist schade. Denn es geht beim Kommunalwahlfinale am Sonntag um viel. Etwa in Dortmund. Dort klagen alle Parteien (außer der SPD), es müsse mit dem „sozialdemokratischen Gutsherrentum in der Stadt“ gebrochen werden. Immerhin regiert die SPD dort nun seit 67 Jahren in wechselnden Konstellationen. Und das wirkt sich laut Opposition aus. Zum einen darin, dass es vielen Dortmundern noch immer ratsam erscheint, ein rotes Parteibuch mitzubringen, wenn sie in Verwaltung oder städtischen Gesellschaften weiterkommen möchten. Zum anderen in selbstherrlich anmutenden Auftritten von SPD-Repräsentanten. Als Beispiel verweist man in Dortmund gerne auf den langjährigen SPD-Fraktionsvorsitzenden Ernst Prüsse. Der klopfte sich in einem Interview atemberaubend offen auf die Schulter, es sei sein größter Coup gewesen, den damaligen CDU-Fraktionschef Frank Hengstenberg auf den Chefposten einer städtischen Gesellschaft zu locken – und damit als Gegner auszuschalten. Dass Genossen sich so ungeniert zur gezielten Pöstchenvergabe bekannten, sorgte selbst im einiges gewöhnten Dortmund für Erstaunen. Gerade im Blick auf die CDU sei dieser Ausspruch aber symptomatisch, meint die grüne Landtagsabgeordnete und OB-Kandidatin Daniela Schneckenburger. „Bei der CDU in Dortmund“ habe sie „den Eindruck, dass sie sich als Alternative zur SPD aufgegeben hat und nur noch dankbar ist, wenn vom Tisch des Herrn Brosamen abfallen“, sagte sie der „Welt am Sonntag“. Die demokratische Kultur einer Stadt lebe aber von politischen Alternativen. Und die werden durch Patronage zwischen Regierung und Opposition unscharf. Die christdemokratische OB-Kandidatin Annette Littmann möchte das zwar ändern und wirbt für eine neue politische Kultur in der Stadt. Unklar ist allerdings, ob die mächtige Herrenriege hinter Littmann ihr folgen will. Auch von dieser Grundsatzfrage abgesehen, gibt es in der Revierstadt bedeutsame Unterschiede zwischen Amtsinhaber und Herausforderin. Vor allem beim Sparen. Um das 30-Millionen-Defizit abzubauen, liebäugelt Littmann mit dem Verkauf städtischer Aktien vom krisengeschüttelten RWE-Konzern, sofern die Umstände dafür etwas günstiger werden. Die Grünen würden das mittragen, während die SPD davon nichts wissen will. Was den einen als „Verscherbeln von Tafelsilber“ gilt, ist für die anderen der Weg in die Schuldenfreiheit – nach Düsseldorfer Vorbild. Die Landeshauptstadt wurde maßgeblich durch den Verkauf von RWE-Anteilen schuldenfrei. Motivieren sollte die Wähler auch, dass es überhaupt in so vielen Kommunen zum Prominentenbeben kam. Vor dem ersten Wahlgang war keineswegs ausgemacht, dass langjährige Stadtoberhäupter wie Mönchengladbachs Norbert Bude oder Düsseldorfs Dirk Elbers in eine zweite Runde gedrängt würden. Seitdem haben die Überraschungsfinalisten, die als David in den ersten Wahlgang zogen, viel mediale Aufmerksamkeit auf sich gezogen – weil sie dem vermeintlichen Goliath ein Beinchen stellten. Das dürfte den Herausforderern zusätzlichen Rückenwind geben. So zog in der Landeshauptstadt SPD-Kandidat Thomas Geisel nun an Amtsinhaber Elbers vorbei – laut Emnid-Umfrage im Auftrag der „Rheinischen Post“. Im ersten Wahlgang kam Geisel auf 37,9 und Elbers auf 46,1 Prozent. Laut Umfrage landet der Sozialdemokrat jetzt bei 51, der CDU-Mann bei 49 Prozent. Die Verantwortlichen für diese Wende glaubt man in Düsseldorfs CDU ausgemacht zu haben. In manchen lokalen Medien werde der SPD-Herausforderer Geisel „höchst unfair“ bevorzugt, so schimpft ein einflussreicher Christdemokrat aus Elbers’ Umfeld gegenüber der „Welt am Sonntag“. Wann immer der Genosse Elbers’ angebliches Faible für luxuriöse Empfänge und Bauprojekte wie den Kö-Bogen anprangere, werde er als Robin Hood gefeiert. Aber dass Geisel selbst „mit Champagnergläschen in der Hand“ 2013 auf der Eröffnungsfeier zum Kö-Bogen zwischen Geschäftsräumen von Gucci und Brioni promenierte, das werde unterschlagen. Daneben stehen in Düsseldorf aber auch gravierende inhaltliche Unterschiede zur Wahl. So hinterfragt Geisel ganz offen das Ziel eines schuldenfreien Haushalts und plädiert für „rentierliche Schulden“, also dafür, dass die Stadt wieder rote Zahlen schreiben solle, um mehr Geld in Bildung zu investieren. Er liegt insofern auf der Linie der rot-grünen Landesregierung. Dagegen beteuert Christdemokrat Elbers, es gebe keine rentierlichen Schulden. Verschuldung raube der Politik alle Gestaltungsmöglichkeiten und zwinge sie dazu, Millionen Euro Zinsen zur Bank zu tragen, anstatt damit Kitas, Schulen oder Jugendhilfsprojekte zu unterstützen. Ein weiterer Unterschied hat hingegen an Schärfe verloren: die SPD-Forderung nach mehr billigem Wohnraum. Ihr kam die CDU 2013 nach. Im Rat beschlossen CDU, Grüne und FDP eine Art Sozialquote für Bauinvestoren. Seitdem müssen Bauherren 20 Prozent des geplanten Wohnraums verbilligt anbieten. Immerhin: Ob dieser Beschluss ohne Druck der SPD und der Grünen so zustande gekommen wäre, ist fraglich. Spannend sind die Wahlen noch aus einem weiteren Grund: Ihr Ausgang ist schwer berechenbar. Deshalb liegt Spannung selbst dort über den Stichwahlen, wo die Kandidaten eher durch Nuancen als durch Welten voneinander getrennt sind. In Mönchengladbach zum Beispiel setzen die Kandidaten zwar unterschiedliche Akzente bei der Verwaltungsreform oder der Frage nach Ansiedlung qualifizierter Arbeitsplätze. Aber verglichen mit anderen Duellanten liegen der seit 2004 amtierende SPD-Oberbürgermeister Bude und sein CDU-Herausforderer Hans Wilhelm Reiners nahe beieinander. Was auch für ihre Wahlergebnisse gilt. Im ersten Wahlgang schnitt Bude mit 40,6 Prozent nur anderthalb Punkte besser ab als Reiners. Niemand wagt daher zu prophezeien, ob nun Reiners im ländlichen Raum oder Bude in der City sein Wählerpotenzial eher ausschöpfen wird. Derlei Prognosen wären schon deshalb riskant, weil unklar ist, wem die Wähler der Kleinparteien ihre Stimme geben werden, sofern sie wählen gehen. Düsseldorfs Grüne fuhren über neun Prozent ein, Dortmunds grüne OB-Kandidatin Schneckenburger kam sogar auf 11,2 Prozent. Dass deren Wähler alle dem SPD-Mann zum Sieg verhelfen werden, ist zweifelhaft. Schließlich gaben die Grünen weder in der Landeshauptstadt noch in Dortmund eine Wahlempfehlung fürs Finale. Außerdem tendiert laut Statistik zwar eine Mehrheit grüner Wähler im Zweifel zur SPD, eine stattliche Minderheit aber zur CDU. Vollends zur Kaffeesatzleserei geraten Vorhersagen angesichts manch exotischer Wählergruppe. So erhielt in Düsseldorf ein Straßenmusikant bei der OB-Wahl 2850 Stimmen. Bekannt ist er als der „nackte Cowboy“, weil er nur mit Cowboyhut und Lendenschurz bekleidet durch die Stadt zieht. Seinen Wählern versprach er mehr Proberäume für Musiker. Für die heutige Stichwahl empfahl er Geisel als „kleineres Übel“. Aber wer weiß schon, ob diese 2850 Düsseldorfer heute dem nackten Cowboy folgen?",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8523,0.000703977472720873
Spekulationen über Teilverkauf,https://taz.de/Archiv-Suche/!5320818&s=&SuchRahmen=Print/,"Der Air-Berlin-Großaktionär ­Etihad ist laut einem Insider optimistisch, dass er Teile der kriselnden Fluglinie an die Lufthansa losschlagen kann. Bei Etihad halte man eine Einigung für sehr wahrscheinlich, erfuhr die Finanznachrichtenagentur dpa-AFX am Mittwoch aus dem Umfeld des Unternehmens. Laut Handelsblatt steht das gesamte dezentrale Geschäft auf der Verkaufsliste, also alle Flüge, die nicht über die Drehkreuze Düsseldorf und Berlin führen. Etihad lehnte eine Stellungnahme ab. (dpa)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,494,0
Das scheinheilige Verhalten der Klubs beim Montagsspiel,https://www.welt.de/sport/article173970307/Montagsspiele-Das-scheinheilige-Verhalten-der-Klubs.html,"Ja, Montagsspiele sind doof, zumindest für die Fans. Beschwerliche Anreise, am nächsten Tag müde zur Arbeit. Es ist verständlich, dass es Proteste hagelte, als am vergangenen Montag Frankfurt gegen Leipzig spielte. Und auch gegen die Partie zwischen Dortmund und Augsburg wird protestiert. Solange alles friedlich abläuft, ist das vollkommen in Ordnung. Seien wir froh, dass die Fans ihre Funktion als Regulativ wahrnehmen und den Fußball nicht kampflos dem Turbokapitalismus ausliefern wollen. Absurd allerdings wird es, wenn Vereinsvertreter sich im Stillen oder in der Öffentlichkeit mit den Fans solidarisieren. Eintracht Frankfurt öffnete seinen Fans sogar die Tore und ließ sie während des Leipzig-Spiels im Innenraum protestieren. „Das ist ein Zeichen des Vertrauens“, sagte Frankfurt-Vorstand Axel Hellmann: „Ich kenne viele, die uns jetzt Populismus vorwerfen. Aber wenn man einem Traditionsverein vorsteht und weiß, welche Wucht der entfalten kann, dann muss man alles dafür tun, damit diese Wucht nicht außer Kontrolle gerät. Das ist kein Populismus, sondern Realpolitik.“ Doch die Vereine sollten sehr vorsichtig sein, so zu tun, als ob sie Verständnis für die protestierenden Fans hätten. Denn die Einführung des Montagsspiels wurde ja nicht par ordre du mufti durchgedrückt, sondern wurde von der Deutschen Fußball Liga (DFL) im Namen der Klubs gefällt. Die DFL ist nämlich kein autarker Verband, sondern der Zusammenschluss der 36 Profiklubs. Ohne ihre Zustimmung passiert im deutschen Ligafußball gar nichts. Und als angekündigt wurde, dass pro Saison bis zu fünf Montagsspiele angesetzt werden können, wurde landauf, landab eifrig genickt. Unter dem Protest der Fans umzuschwenken wäre nicht nur populistisch und scheinheilig, sondern auch feige. Denn die Mehreinnahmen aus den Montagsspielen nehmen die Klubs gern. Auch gegen die Entlastung der Europa-League-Teilnehmer haben sie nichts. Wenn sich in den Klubs langsam die Erkenntnis durchsetzen sollte, dass das mit den Montagsspielen doch nicht so eine tolle Idee ist, müssen sich die Funktionäre grademachen und bei der nächsten Ligaversammlung dagegen stimmen. Und nicht so tun, als ob das alles über ihre Köpfe hinweg entschieden worden wäre.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2215,0
Der Überraschungsgast,https://www.faz.net/aktuell/rhein-main/marco-russ-bei-saisoneroeffnungsfest-der-eintracht-14388151.html,"Wiedersehen macht Freude! Annähernd 40 000 Besucher haben die Gelegenheit genutzt, sich von der neuen Eintracht ein Bild zu machen und den Kader, mit dem die Frankfurter an diesem Sonntag in ihr Pflichtprogramm starten, in Augenschein zu nehmen. Im Rahmen des Saisoneröffnungsfests stellte sich die Fußballmannschaft, die nicht mehr viel Ähnlichkeit mit dem Vorgänger-Jahrgang besitzt, auf einer Bühne zwischen Bierbuden und Bratwurstständen ihrem Anhang vor. Die Spieler, mit denen Niko Kovac eine sechswöchige Vorbereitung absolvierte und die in Kürze erstmals ernsthaft im Pokal gefordert werden, wurden mit freundlichem Applaus begrüßt. Etliche der Namen, die vom Moderator mit lauter Stimme aufgerufen wurden, waren bei der Mehrheit der Fans noch nicht allzu geläufig. Mit Sprechchören wurde dagegen ein Überraschungsgast gefeiert, der sich nach fast drei Monaten wieder in einem Fußballtrikot der Öffentlichkeit präsentierte – und vom Wohlwollen, mit dem das Publikum seinen Auftritt goutierte, ergriffen war: Marco Russ meldete sich zurück. Der 31 Jahre alte Profi ist gezeichnet von den Behandlungsmethoden, mit denen die Ärzte ihn von einer Tumorerkrankung heilen wollen. Er hat derzeit, als Folge zweier Chemotherapien, kein Haar auf dem Kopf. Viele der Zuschauer mussten zweimal hinsehen, um in ihm den Spieler zu erkennen, der beim Hinspiel in der Relegationsrunde gegen den Bundesligaabstieg gegen Nürnberg (1:1), als Kapitän letztmals für die Eintracht im Einsatz war. Tags zuvor war er informiert worden, dass bei ihm bei routinemäßigen Doping-Kontrollen stark erhöhte Werte eines Wachstumshormons festgestellt wurden, die, wie sich herausstellte, von einer bösartigen Gewebeveränderung herrührten. Als sich die Kollegen am Abend des 23. Mais im Rückspiel beim „Club“ 1:0 durchsetzten, lag Russ in einem Frankfurter Krankenhaus, wo er wenige Stunden vor dem Anstoß operiert worden war. „Seit zwei Wochen geht es mir gut, vorher hatte ich noch etwas Probleme mit dem Kreislauf. Jetzt ist alles in Ordnung, und ich kann ein bisschen Yoga machen, um wieder etwas in Schwung zu kommen“, berichtete Russ. Er erzählte außerdem, dass er viel Zeit mit seinen Kindern verbringe und kürzlich Kevin Trapp in Paris besucht habe. „Es gibt Freunde, die für einen da sind, meine Frau, die Ärzte und Pfleger, alle haben mich gut unterstützt“, sagte er und fügte an: „Die Hauptsache ist, dass meine Kinder gesund sind. Ich überstehe das schon.“ Die medizinische Therapie, so schilderte es der 31-Jährige, nehme den gewünschten Verlauf. Bei der jüngsten Blutuntersuchung, die er vor drei Wochen hinter sich brachte, seien alle Werte „so gewesen, wie sie sein sollten“. Am 19. Oktober stehe die Abschlussuntersuchung an, da werde „komplett alles durchgecheckt. Und wenn das dann so aussieht wie in den letzten Tests, kann ich wieder anfangen“. Sein Wunsch sei es, im Wintertrainingslager Anfang Januar wieder vollumfänglich einzusteigen. Sportdirektor Bruno Hübner sagte, er habe sich „riesig gefreut, als ich hörte, dass sich Marco heute zur Verfügung stellt“. Der Klub werde „keinen Druck ausüben“, sondern dem Routinier alle Zeit lassen, die er brauche, „um die Krankheit zu bekämpfen und seine Genesung voranzutreiben“. Für die Position, auf der Russ in der Vergangenheit als nahezu unverzichtbar galt, verpflichtete die Eintracht am Sonntag noch einen Spieler. Vom FC Chelsea kam mit Michael Hector der nächste Zugang, der für zwölf Monate ausgeliehen wurde. Die Formalitäten des Geschäfts wurden abgeschlossen, als am Nachmittag die Generalprobe gegen Celta de Vigo (3:1) bereits im Gange war; der 24-Jährige wurde dann in den Schlussminuten eingewechselt. Die Treffer zum Sieg fielen durch Branimir Hrgota (11. und 50. Minute) und ein Eigentor der Spanier (80.), bei denen einzig Sisto (58.) einen Vorstoß erfolgreich abschloss. Mit Hector haben die Frankfurter 17 Nationalitäten in ihrem Multi-Kulti-Aufgebot. Laut Hübner handelt es sich bei ihm um einen Wunschkandidaten, der schon „sehr lange“ unter Beobachtung gestanden habe. Hector hat einen außergewöhnlich wechselhaften Werdegang hinter sich: In den vergangenen sieben Jahren stand er in Großbritannien bei 13 verschiedenen Vereinen unter Vertrag, mehrheitlich keine erstklassigen Adressen. Zuletzt lief er für den FC Reading auf, für den er in der zweiten Liga 35 Spiele bestritt. Auf die Bundesliga freue er sich, sagte er, „weil ich von ihr nur Gutes gehört habe“. Hector ist 1,93 Meter groß, eine „echte Kante“, wie Kovac anerkennend bemerkte. Durch ihn erhofft sich der Coach zusätzliche Durchsetzungskraft und Flexibilität in der Defensive, die ihm in der ersten Halbzeit gegen Celta de Vigo ohne Hectors Zutun „zu passiv“ zu Werke ging. Erst in der zweiten Halbzeit sei durch mehr Ballbesitz die Vorstellung insgesamt ansehnlicher geworden. „Da haben wir gesehen, dass es funktioniert“, bilanzierte der Coach, der sich „gewappnet fühlt“ für das, was bevorsteht: „So, wie wir aufgestellt sind, ist es gut.“ Was fortan zu beweisen wäre.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5002,0.000599760095961615
"Ter Stegen sagt Löw ab, spielt aber für Barça und patzt",https://www.welt.de/sport/fussball/article183676728/Nationalelf-ter-Stegen-sagt-ab-spielt-aber-fuer-FC-Barca-und-patzt.html,"Als Joachim Löw am vergangenen Freitag den Kader für die Spiele gegen Russland und die Niederlande bekannt gab, fehlten zwei Namen, die in den vergangenen Jahren zum Inventar der Nationalmannschaft gehörten. Der Bundestrainer gibt Jérôme Boateng eine Pause, damit der Abwehrspieler des FC Bayern an seiner Fitness arbeiten kann. Neben Boateng fehlt auch Marc-André ter Stegen. Der Torwart des FC Barcelona wird wegen einer Schulterverletzung nicht zur Nationalelf reisen. „Ter Stegen soll die Länderspielpause nutzen, um Schulterbeschwerden, die ihn seit einigen Wochen plagen, ohne Belastung auszukurieren und behandeln zu lassen“, twitterte die Nationalmannschaft. Das Auskurieren begann aber offensichtlich nicht sofort. Denn zwei Tage nach seiner Absage bei der Nationalmannschaft stand der 26-Jährige am Sonntag im Tor des FC Barcelona und kassierte in der Primera Division eine 3:4-Niederlage gegen Betis Sevilla. „Das ist die Sache des Nationalteams. Wir kümmern uns um Marc-André ter Stegen, aber er ist trotzdem einsatzbereit“, hatte Barcelonas Trainer Ernesto Valverde bereits vor dem Spiel gesagt. Ter Stegen machte bei der ersten Heimniederlage Barças seit September 2016 eine unglückliche Figur. Bei den ersten beiden Gegentoren war er machtlos, das zwischenzeitliche 1:3 ging klar auf seine Kappe: Der Nationaltorwart ließ in der 71. Minute einen harmlosen Schuss von Giovani Lo Celso durch seine Hände flutschen. Trotz eines standesgemäßen Doppelpacks von Lionel Messi, der nach drei Wochen sein Comeback feierte, verlor Barça sein zweites Saisonspiel. Vier Gegentore im Camp Nou hatten die Katalanen zuletzt vor 15 Jahren kassiert. Ter Stegen hat jetzt zwei Wochen Zeit, sich von der Niederlage zu erholen und seine Schulterverletzung auszukurieren. Trotzdem überrascht der Zeitpunkt der Absage für die Nationalmannschaft: Ter Stegen spielt bisher eine überragende Saison. In Spanien wurden die Stimmen immer lauter, dass er auch bei der Nationalelf die Nummer eins werden soll. Ter Stegen hätte weiter Druck auf Manuel Neuer machen können, der nach seiner schweren Fußverletzung, wegen der er in der vergangenen Saison nur drei Spiele gemacht hatte, noch weit von seiner Bestform entfernt ist. Doch statt ter Stegen hat Löw Kevin Trapp von Eintracht Frankfurt und Arsenals Bernd Leno nominiert.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7,2311,0.00302899177845089
Unister um Millionensumme betrogen: Finanzvermittler in U-Haft,https://www.bild.de/regional/aktuelles/sachsen/unister-um-millionensumme-betrogen-finanzvermittler-47304740.bild.html,"Dresden (dpa/sn) - Nach einem Kredit-Deal, bei dem das Leipziger Internet-Unternehmen Unister um rund eine Million Euro betrogen worden sein soll, sitzt ein Finanzmakler aus Unna (Nordrhein-Westfalen) in U-Haft. «Es besteht Fluchtgefahr», sagte der Sprecher der Sächsischen Generalstaatsanwaltschaft, Wolfgang Klein, am Samstag der Deutschen Presse-Agentur in Dresden. «Spiegel-Online» hatte am Samstag berichtet. Dem Verdächtigen werde Beihilfe zum Betrug in besonders schwerem Fall vorgeworfen. Der Deal soll Mitte Juli in Venedig abgewickelt worden sein. Auf der Rückreise kamen Unister-Chef Thomas Wagner und Firmen-Mitgründer Daniel Kirchhof bei einem Flugzeugabsturz in Slowenien ums Leben.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,696,0.00574712643678161
