title,url,text,crime
Verdächtiger legt Geständnis ab,https://www.faz.net/aktuell/gesellschaft/kriminalitaet/prostituiertenmorde-verdaechtiger-legt-gestaendnis-ab-15057497.html,"Die beiden Mordfälle in Nürnberg sind aufgeklärt. Der Tatverdächtige Felix R. hat der Polizei zufolge gestanden, zwei Prostituierte getötet zu haben. Als Motiv gab der geständige Arbeitslose Streitigkeiten mit den beiden Frauen an. Die Ermittler kamen dem Täter durch Handydaten auf die Spur. Der Mann soll mit seinem Mobiltelefon mit den beiden ermordeten Prostituierten telefoniert haben. Wegen einer Gewalttat im Familienkreis war der Verdächtige der Polizei zwar bereits bekannt, fiel jedoch nach Polizeiangaben nicht „erheblich“ auf. Außerdem war er zum Zeitpunkt des Deliktes noch heranwachsend. Inzwischen ist der Täter 21 Jahre alt. Die Polizei wollte die Angaben am Montagmorgen mit Verweis auf die laufenden Ermittlungen zunächst nicht bestätigen. Sie will Details zu dem Fall bei einer Pressekonferenz am Nachmittag bekannt geben. Ende Mai war eine 22-jährige rumänische Prostituierte ermordet worden. Rettungskräfte hatten die Frau nachts in einer brennenden Wohnung im sechsten Stock eines Nürnberger Mehrfamilienhauses gefunden. Am Pfingstmontag wurde dann wieder eine Prostituierte, eine 44 Jahre alte Chinesin, umgebracht. Die Polizei ging von Anfang an davon aus, dass beide Taten zusammenhängen.",Ja
Schoko-Nikoläuse und Lebkuchen: Fairhandelshaus Gepa legt zu,https://www.bild.de/regional/aktuelles/nordrhein-westfalen/schokolade-und-lebkuchen-fairhandelshaus-51695568.bild.html,"Wuppertal (dpa) - Das kirchennahe Handelshaus Gepa hat sein Geschäft mit Lebensmitteln aus fairem Handel im vergangenen Jahr ausgebaut. Der Umsatz stieg um 7,2 Prozent auf rund 74 Millionen Euro, teilte das auf Zusammenarbeit mit Entwicklungsländern spezialisierte Unternehmen am Donnerstag in Wuppertal mit. Wichtigstes Produkt war Kaffee mit einem Zuwachs um 7,6 Prozent auf 31,7 Millionen Euro. Bei Schokoladen legte der Erlös um 8,9 Prozent auf 16 Millionen Euro zu. In diesem Jahr würden nun erstmals auch Saisonartikel wie Schoko-Nikoläuse, Weihnachtsschokolade oder Lebkuchen-Konfekt gebündelt in größerem Stil angeboten, sagte Geschäftsführer Peter Schaumberger. Wichtigster Umsatzbringer war 2016 der Verkauf der etwa 450 Lebensmittel-Produkte in Super- und Biomärkten, der Umsatz stieg hier um zehn Prozent auf 28 Millionen Euro. Der traditionelle Absatz über die etwa 800 Weltläden sowie 5000 Aktionsgruppen ging leicht auf 21 Millionen Euro zurück. Der Verkauf von Rohwaren wie Kakao an ausländische Schwesterorganisationen brachte 15,6 Millionen Euro ein. Die Gepa wird getragen von Entwicklungs- und Jugendorganisationen der evangelischen und katholischen Kirche. Gewinne fließen wieder in den fairen Handel. Das vor 42 Jahren gegründete Unternehmen kooperiert mit über 150 Genossenschaften in Asien, Afrika und Amerika, in denen Zehntausende Kleinbauern organisiert sind. Beim fairen Handel geht es unter anderem um auskömmliche Erzeugerpreise und sichere Arbeitsstandards.",Nein
Champions-League-Analyse: Wie Barcelona in Rom sensationell unterging,https://www.spiegel.de/sport/fussball/champions-league-wie-fc-barcelona-bei-as-rom-unterging-a-1202259.html,"Am 8. März 2017 haben die Spieler des FC Barcelona Fußballgeschichte geschrieben: Nachdem sie das Hinspiel im Champions-League-Achtelfinale gegen Paris Saint-Germain 0:4 verloren hatten, gewannen die Katalanen das Rückspiel 6:1 und zogen in die nächste Runde ein. Jetzt ist Barça Teil der nächsten historischen Sensation in der Königsklasse - nur aus der anderen Perspektive. Nach einem 4:1-Hinspielsieg im Viertelfinale gegen AS Rom schien das Team um Superstar Lionel Messi schon als Halbfinalist festzustehen. Doch die Roma wuchs im Rückspiel über sich hinaus und gewann die Partie 3:0 (1:0). Damit sind die Italiener erst das dritte Team, das in Champions-League-K.-o.-Spielen einen Rückstand von drei oder mehr Toren wettgemacht hat - nach Barça im Vorjahr und Deportivo La Coruña 2004 gegen AC Mailand. Besonders beeindruckend ist dabei, dass der Roma-Sieg hochverdient und zu keinem Zeitpunkt ernsthaft gefährdet war. Die grafische Analyse zeigt, wie es den Italienern gelang, Barcelonas Stärken auszuschalten und die Sensation zu erzwingen. Champions-League-Analyse: Hoch spielen, hoch gewinnen",Nein
IN ALLER KÜRZE,https://taz.de/Archiv-Suche/!505079&s=&SuchRahmen=Print/,"Die geplante Privatisierungsbremse in der Bremer Landesverfassung ist vorerst gescheitert. Die Bürgerschaft hatte das Gesetz in erster Lesung beschlossen und zur Beratung an den Verfassungs- und Geschäftsordnungsausschuss überwiesen, aber SPD und Grüne wurden sich nicht einig. Die SPD will keinen Verkauf öffentlicher Unternehmen ohne einen vorherigen Volksentscheid, die Grünen wollen das Thema Privatisierungsbremse in eine grundsätzliche Regelung für Volksentscheide einbetten und werfen der SPD „Symbolpolitik“ vor.  (taz)",Nein
Schütze tötet Mann in Frankfurt - zwei Schwerverletzte - Newsticker - Die aktuellsten Nachrichten,https://www.bild.de/news/aktuell/schuetze-toetet-mann-in-frankfurt--zwei-schwerverletzte-35343226.bild.html,"Frankfurt/Main (dpa) - Schüsse in einem Frankfurter Park: Ein 29-Jährigen Mann wird getötet, zwei Opfer im Alter von 33 und 29 Jahren werden schwer verletzt, eines von ihnen ist möglicherweise in Lebensgefahr. Der Schütze flüchtete. Die Polizei sucht unter anderem mit einem Hubschrauber nach ihm. Ein Spezialeinsatzkommando war im Einsatz. Die Hintergründe der Schießerei sind noch unklar.",Ja
Sozialer Aufstieg: American Dream - in diesen Ländern wird er wahr,https://www.spiegel.de/karriere/sozialer-aufstieg-in-diesen-laendern-gelingt-der-american-dream-a-1075651.html,"Die USA gelten, so will es der Gründungsmythos und natürlich Donald Trump, als Paradies für Emporkömmlinge. Die Aufstiegschancen sind demnach so hoch wie sonst nirgends. Mit Fleiß und Glück könne jeder ein Warren Buffet oder ein Elon Musk werden. Wirklich?Eine Studie der Universität Stanford weckt Zweifel an dem Mythos. Die Wissenschaftler haben in zehn Ländern verschiedene Aspekte des sozialen Aufstiegs untersucht, zum Beispiel, wie weit sich das Gehalt des Sohnes von dem des Vaters entfernt hat. Verdient der Sohn deutlich mehr als sein Vater, spricht das für eine durchlässige Gesellschaft. Ist der finanzielle Abstand gering, dokumentiert das eine eher undurchlässige Gesellschaft. Analysiert wurden nur wohlhabende Länder, um eine gewisse Vergleichbarkeit zu gewährleisten. Fazit der Wissenschaftler: Die Lotterie der Geburt ist in den USA weit wichtiger als in anderen Ländern.  ",Nein
Bischöfe verlieren im Fall Tebartz-van Elst Geduld,https://www.welt.de/politik/deutschland/article126055818/Bischoefe-verlieren-im-Fall-Tebartz-van-Elst-Geduld.html,"Innerhalb der katholischen Kirche wächst der Druck auf Papst Franziskus, den bislang geheimen Bericht über den Limburger Bauskandal herauszugeben und über die Zukunft von Bischof Franz-Peter Tebartz-van Elst zu entscheiden. „Ich bin fest überzeugt, dass möglichst bald dieser Bericht veröffentlicht werden muss“, sagte der Mainzer Bischof Karl Lehmann dem „Kölner Stadt-Anzeiger“. Zuvor hatte unter anderem auch der Freiburger Erzbischof Robert Zollitsch eine schnelle Entscheidung des Papstes gefordert – „im Interesse aller Beteiligten“. Tebartz-van Elst wird die Verantwortung für die auf mindestens 31 Millionen Euro ausgeuferten Kosten beim Bau des Limburger Bischofssitzes zugeschrieben. Die Ausgaben waren von einer Kommission der Bischofskonferenz geprüft worden, deren Bericht nun dem Vatikan vorliegt. Über die Zukunft des Bischofs muss der Papst entscheiden. Der Pontifex hatte Tebartz-van Elst im Oktober eine Auszeit außerhalb des Bistums verordnet. Das Limburger Bistum kündigte an, das Vermögen und die Ausgaben der Diözese noch vor der Sommerpause offenzulegen. Der Schritt war bereits im Dezember angekündigt worden, nun hätten aber die Verwaltungsgremien die Veröffentlichung beschlossen, teilte ein Bistumssprecher mit. Die bischöflichen Vermögenswerte würden in der zweiten Jahreshälfte veröffentlicht. Als Konsequenz aus dem Limburger Skandal hatten die meisten Diözesen bereits vor Monaten die bischöflichen Vermögenswerte offengelegt. „Mit dieser Entscheidung geht das Bistum Limburg nach der bereits erfolgten Veröffentlichung des Budgets und der Verwendung der Kirchensteuer einen weiteren wichtigen Schritt auf dem Weg zur größtmöglichen Transparenz in finanziellen Angelegenheiten“, sagte Finanzdezernent Gordon Sobbeck. Offen bezweifeln mehrere Bischöfe eine Rückkehr des Limburger Bischofs in sein Bistum. „Ich halte eine Rückkehr für nicht realistisch“, hatte der Bischof von Rottenburg-Stuttgart, Gebhard Fürst, kürzlich in Ulm gesagt. Auch Lehmann zeigte sich skeptisch: „Es gibt viele Gründe, warum er nicht zurückkommen kann“, sagte der Kardinal laut „Kölner Stadt-Anzeiger“ auf einer Veranstaltung der lit.Cologne. Bereits im Februar hatte es sein Trierer Amtsbruder Stephan Ackermann für fraglich gehalten, ob Tebartz-van Elst auf seinen Bischofsstuhl zurückkehren kann. „Ich nehme eine große Entfremdung zwischen Bischof und Bistum wahr“, hatte Ackermann damals der Mainzer „Allgemeinen Zeitung“ gesagt. Am Freitag endete zudem die Amtszeit des Hamburger Erzbischofs Werner Thissen. Papst Franziskus habe das im vergangenen Jahr aus Altersgründen eingereichte Rücktrittsgesuch des 75-Jährigen angenommen, teilte das Erzbistum Hamburg mit. Das Hamburger Domkapitel wählt jetzt zunächst einen Diözesanadministrator. Er leitet das Erzbistum, bis der neue Erzbischof eingeführt ist. Thissen hatte das jüngste und flächenmäßig größte deutsche Erzbistum, zu dem auch Mecklenburg und Schleswig-Holstein gehören, länger als elf Jahre geleitet.",Nein
So reagiert Europa auf Macrons Appell,https://www.welt.de/politik/deutschland/article189832887/Emmanuel-Macron-So-reagiert-Europa-auf-seinen-Appell.html,"Im Ton freundliche, in der Substanz unverbindliche und in Details auch skeptische Reaktionen hat der französische Staatspräsident Emmanuel Macron für seinen Appell zu einem „Neubeginn in Europa“ erhalten. Die Zurückhaltung war in Stellungnahmen der Bundesregierung in Berlin ebenso spürbar wie bei der EU-Kommission in Brüssel. Immerhin sagte EU-Ratspräsident Donald Tusk, angesichts von Versuchen der Beeinflussung von Wahlen durch „antieuropäische Kräfte“ in- und außerhalb der EU unterstütze er Macrons Betonung der demokratischen Freiheiten „vollkommen“. Macron hatte seinen umfassenden Aktionsplan mit diversen einzelnen Vorschlägen am Montag veröffentlicht, darunter für Deutschland in WELT. „Noch nie seit dem Zweiten Weltkrieg war Europa so wichtig. Und doch war Europa noch nie in so großer Gefahr“, schrieb Macron, der jeder nationalistischen Abschottung eine Absage erteilte. Ein Sprecher der Bundesregierung blieb unverbindlich. Er sagte, es sei „wichtig, dass die proeuropäischen Kräfte vor der Europawahl ihre Konzeptionen vorstellen“. Zu den einzelnen Vorschlägen aus Paris nahm der Sprecher nicht Stellung, sondern versicherte lediglich: „Die Bundesregierung unterstützt die engagierte Diskussion über die Ausrichtung der Europäischen Union.“ Auch Bundesfinanzminister Olaf Scholz (SPD) wurde wenig konkret: Er sagte, Macron setze „ein entschlossenes Signal für den Zusammenhalt in Europa“. Norbert Röttgen (CDU), Vorsitzender des außenpolitischen Ausschusses des Bundestages, unterstützte im Gespräch mit WELT Macrons Sicht, „dass wir uns in einer historisch ernsten Lage befinden, in der es um die Auseinandersetzung Nationalismus versus Europa geht“. Das sei das Thema der Europawahl, „und das stellte sich in Frankreich nicht wirklich anders dar als in Italien, Deutschland oder Polen“, so Röttgen. Allerdings sei Macrons Vorschlag „ein Sammelsurium von Überschriften, die zum Teil mehr Fragen aufwerfen, als sie beantworten“. Gerade jetzt aber sei „Fokussierung gefragt, insbesondere bei der Frage, wofür Europa zuständig sein soll“. Macrons Vorschläge seien „durchgehend sehr französisch geprägt und viel zu sehr im Sinne von mehr Staat“, kritisierte Röttgen: „Er schlägt für nahezu jedes Problem, das er identifiziert, einen neuen Rat, eine neue Agentur oder eine neue Institution vor. Ich bezweifle aber, dass Europas Problem ein Mangel an Institutionen und Gremien ist und dass mehr Gremien in Europa die Lösung darstellen.“ Stattdessen mahnte Röttgen konkrete Schritte an. So sei „ein europäisches 5G-Mobilfunknetz viel plausibler als nationale Lösungen“. Dabei könnten „Deutschland und Frankreich und andere“ vorangehen: „Das wäre als Gemeinschaftswerk für die europäischen Bürger erlebbar.“ Außerdem schlug der Christdemokrat vor, mit einer „europäischen Außenpolitik von Frankreich, Deutschland, Großbritannien und anderen“ zu beginnen, „die sich etwa im Mittleren Osten und gegenüber China und in anderen Bereichen auf eine europäische Linie verständigen“. London solle auch im Fall des Brexit eingeladen werden, sich daran zu beteiligen. Gänzlich ablehnend fiel die Reaktion der AfD aus. Ihr Bundestagsfraktionsvorsitzender Alexander Gauland erklärte auf Facebook: „Je größer die Probleme in Frankreich werden, desto mehr gibt Macron den Weltstaatsmann.“ Gauland empfahl, „statt immer neue Visionen für die EU zu entwerfen und anderen Staaten Vorschläge zu machen, sollte Herr Macron sich zunächst lieber um Frankreich kümmern“. Die Ideen des Präsidenten würden „am Ende zu noch mehr Vorschriften und Bürokratie führen und die Souveränität der Mitgliedstaaten weiter einschränken“. Sevim Dagdelen, Außenpolitikerin der Linke-Bundestagsfraktion, kommt zu einem ähnlichen Ergebnis – wenn auch aus anderen Gründen. Dagdelen sagte WELT, Macrons Vorschläge würden „die Krisen der Europäischen Union noch vertiefen“. Es sei eine „gefährliche Illusion“ zu glauben, „mit einer Erhöhung der Militärausgaben die Europäische Union zusammenzuhalten“. Die von Macron „beschworene Aufrüstung“ sei „ein Angriff auf ein soziales Europa. Europa wird sozial und friedlich sein oder es wird nicht sein.“ Einen positiven Grundton schlug Grünen-Chefin Annalena Baerbock an, die Macrons Vorstoß lobte und sagte, es sei „so wichtig, dass es Impulse gibt für Europa“. Daher sei es „essenziell, dass der französische Präsident Europa drei Monate vor der Europawahl wachrüttelt“. Ihre Partei würde Macron „in vielen Punkten“ unterstützen, versicherte Baerbock, benannte dann aber nur seinen grundsätzlichen Appell: „Wir brauchen eine wehrhafte europäische Demokratie, etliches sehen wir anders wie mit Blick auf die Rüstungsexporte zum Beispiel.“ Aber die demokratische Debatte über die Zukunft Europas, die brauche es „jetzt, und da setzt der französische Präsident einen Impuls“. Für die FDP-Bundestagsfraktion warnte deren außenpolitischer Sprecher Bijan Djir-Sarai die Bundesregierung, Macron „erneut im Regen stehen zu lassen, wie sie es im letzten Jahr tat“. Er fügte aber hinzu, dass die Liberalen „nicht alle Vorschläge teilen“. Das gelte etwa für „Macrons Vorstoß zu einem EU-weiten Mindestlohn oder einer europäischen Grundsicherung“. Was der Brüsseler Chefsprecher der EU-Kommission zu Macrons Vorschlägen zu sagen hatte, klang nicht danach, als sei das Papier im Berlaymont, dem Hauptquartier der Kommission, mit großer Begeisterung gelesen worden. Am Ende seiner kurzen Stellungnahme klang Margaritis Schinas jedoch einigermaßen versöhnlich: „Um es auf einen Punkt zu bringen: In der Frage einer europäischen Renaissance sind Frankreich und die Kommission auf einer Wellenlänge. Wir kämpfen den gleichen Kampf“, sagte der gebürtige Grieche in der täglichen Mittagskonferenz der Kommission – und das höflicherweise sogar eigens auf Französisch. Zuvor hatte Schinas unterstrichen, dass eigentlich fast alle macronschen Ideen längst von EU-Kommissionspräsident Jean-Claude Juncker vorgeschlagen worden seien. Vieles davon werde sogar bereits umgesetzt. Eine stärkere Grenzsicherung? Von der Kommission lange gefordert. Eine europäische Asylagentur? Gibt es schon, Juncker hat mehrfach ihre Stärkung vorgeschlagen. Mehr Geld für den europäischen Innovationsrat? Bereits beschlossen. Offenkundig wollen sich Juncker und seine Kommission nicht vom französischen Staatspräsidenten als handlungs- und ideenschwache Truppe hinstellen lassen. Auf Nachfragen, was er von dem Vorschlag einer baldigen Europakonferenz oder gar der Öffnung der EU-Verträge halte, reagierte Schinas kurz angebunden. „In meiner Stellungnahme ist alles zu dem Thema gesagt. Ich werde mich jetzt nicht auf ein Seminar zu dem Gastkommentar einlassen.“ Und was die mögliche Überarbeitung der EU-Verträge angehe, sei die Sache ohnehin klar: „Die Verträge gehören den EU-Mitgliedstaaten.“ Dort habe daher auch die Diskussion stattzufinden und nicht in der EU-Kommission. In Ungarn gab es bislang kaum ein Echo auf Macrons Vorschläge. Die Regierung reagierte bis Redaktionsschluss dieses Artikels nicht auf eine Nachfrage von WELT, die regierungsnahen Medien schwiegen – aber auch bei den kritischen Medien griffen vorerst nur wenige das Thema auf. Inhaltlich dürfte der gegen „Nationalismus“ gerichtete Ton und Inhalt des Appells der Regierung wenig gefallen, obwohl manche Aspekte auch zu ungarischen Positionen passen. Einen Rat der Schengen-Innenminister hatte beispielsweise Ministerpräsident Viktor Orbán selbst im Interview mit WELT AM SONNTAG gefordert. Die Entsendung von „Demokratieschützern“ der EU in jedes Mitgliedsland und einen impliziten Ausschluss aus der Schengen-Zone für Mitglieder, die keine „Solidarität“ in der Asylpolitik zeigen, dürfte jedoch auf Ablehnung stoßen. Der Artikel von Macron scheint die Polen weitgehend kaltzulassen. Weder im Staatsfernsehen noch in sozialen Netzwerken werden die Worte des französischen Präsidenten überschwänglich kommentiert. Kein Wunder: Zwar gelten die Polen im Allgemeinen als proeuropäisch, die nationalkonservative Regierungspartei PiS drückt seit ihrem Sieg bei den Parlamentswahlen im Jahr 2015 jedoch mit zuverlässiger Regelmäßigkeit ihre Skepsis gegenüber einer zunehmenden europäischen Integration aus. Entsprechend verhalten äußerte sich der Staatssekretär im Außenministerium, Konrad Szymanski, gegenüber WELT: „Ähnlich wie Präsident Macron sehen wir Möglichkeiten für Fortschritt in Sachen Verteidigung, vor allem im Einvernehmen mit der Nato.“ Allerdings: „Uns fehlt die Zukunftsvision für einen gemeinsamen Markt.“ In Italien allerdings lobte Lia Quartapelle, außenpolitische Sprecherin des sozialliberalen Partito Democratico, den „tollen Start in den EU-Wahlkampf“. Macron zeige, „dass es eine breite, proeuropäische Front in der Union gibt, eine politische Familie“.",Nein
"Es wird deutlicher, was Brexit heißt",https://www.sueddeutsche.de/politik/grossbritannien-es-wird-deutlicher-was-brexit-heisst-1.3335168,"Die Stimmung unter den britischen Brexit-Befürwortern wird beinahe täglich besser. Mit einiger Vorfreude erwarten sie die lange angekündigte Rede von Premierministerin Theresa May, die sich an diesem Dienstag erstmals ausführlich dazu äußern will, was der Brexit im Detail bedeuten könnte. Dass die EU-Gegner sich darüber freuen, liegt daran, dass immer klarer wird, dass es wohl auf einen harten Brexit hinausläuft, sprich: Vieles deutet darauf hin, dass Großbritannien nicht länger Teil des europäischen Binnenmarktes bleiben wird. May wird gegen Mittag im Lancaster House vor Diplomaten, Beamten und Journalisten sprechen. Lancaster House ist ein Herrenhaus, das mitten in London am Green Park liegt, in unmittelbarer Nähe zur Stadtresidenz von Thronfolger Prinz Charles. Eine Zeitlang hatte das Team der Netflix-Serie The Crown den Bau in Beschlag genommen - in der Serie geht es um das Leben von Königin Elizabeth II., und da es für den Buckingham Palace selbstverständlich keine Drehgenehmigung gibt, musste das ehrwürdige Lancaster House mit seinen hohen Decken, geschwungenen Treppen und ballsaalgroßen Räumen als Kulisse herhalten. Es ist also ein würdiger Rahmen für Mays bisher wichtigste Rede als Premierministerin. Europa ist eingeklemmt zwischen dem künftigen US-Präsidenten Trump und Russlands Staatschef Putin. Jetzt muss die EU handeln und kann nicht länger eine reine Soft Power bleiben. Gastbeitrag von Joschka Fischer In den Wochen nach dem Referendum, in dem sich eine Mehrheit der Briten für den Austritt aus der EU entschieden hatte, weigerte sich May, Details bezüglich des Brexit preiszugeben. Sie werde keinen laufenden Kommentar abgeben, wiederholte sie unermüdlich und zog sich auf ihr Mantra zurück: Brexit heißt Brexit, sagte sie so oft, dass es eine fast absurde Note bekam. Mittlerweile wird aber tatsächlich deutlicher, was Brexit heißen könnte. May hat gesagt, dass es für sie zwei Prioritäten gebe. Zum einen will sie die Einwanderung aus der EU kontrollieren und zum anderen sicherstellen, dass der Europäische Gerichtshof keinen Einfluss mehr auf britisches Recht hat. Ohne Anerkennung der Freizügigkeit und der Rechtsprechung aus Luxemburg ist es jedoch nach EU-Regeln nicht möglich, Teil des Binnenmarktes zu sein. Die meisten EU-Gegner im Vereinigten Königreich wollen ohnehin so wenig Verbindungen mit Brüssel wie möglich. Sie gehen davon aus, dass ein von EU-Regularien befreites Großbritannien aktiver mit dem Rest der Welt Handel treiben könne. In diesem Glauben wurden sie durch das Interview bestärkt, das der designierte amerikanische Präsident Donald Trump der Bild-Zeitung und der Londoner Times gegeben hat. Während die Bildden ehemaligen Chefredakteur schickte, entsandte die Times den ehemaligen Justizminister Michael Gove, einen der führenden Befürworter des EU-Austritts. Gove wurde von Theresa May nach dem Referendum und seinem gescheiterten Versuch, die Parteiführung zu übernehmen, zum Hinterbänkler degradiert. Die neugewonnene freie Zeit nutzt Gove, um hin und wieder eine Kolumne in der Times zu schreiben, was er sich mit 150 000 Pfund im Jahr vergüten lässt. Nun hatte die Zeitung ihn zum Interview nach New York geschickt, was bedeutet, dass Premierministerin May erst die dritte britische Politikerin sein wird, die persönlich mit Trump nach dessen Wahlsieg spricht. Als ersten Politiker von der Insel hatte Trump Nigel Farage getroffen, den vormaligen Chef der EU-feindlichen UK Independence Party. In dem Interview sagte Trump, dass er den Brexit für großartig halte. Er sagte: Trump hat gesagt, dass es zum Brexit kommen wird, und es ist so gekommen. Alle dachten, ich sei verrückt. Er stellte ein schnelles bilaterales Freihandelsabkommen zwischen den USA und Großbritannien in Aussicht. Wir werden hart arbeiten, um das schnell hinzukriegen. Gut für beide Seiten. Gove ließ sich dann noch mit Trump fotografieren, beide hoben den Daumen. Tim Farron, Chef der britischen Liberaldemokraten, merkte zu dem Interview an: Das war eine Lobeshymne von einem bewundernden Fan. Die Brexit-Befürworter nahmen Trumps Worte hingegen mit Freude auf. Außenminister Boris Johnson sprach von einer guten Nachricht. Zwei Hürden gibt es derzeit auf dem Weg zum Brexit. In diesem Monat wird das Urteil des Supreme Court erwartet, der darüber befindet, ob May das Parlament befragen muss, bevor sie Brüssel auch offiziell gemäß Artikel 50 der EU-Verträge vom Austrittswunsch unterrichtet. Das ist für Ende März geplant. Zudem werden in Nordirland Neuwahlen fällig, da die Regionalregierung sich nicht auf eine Fortführung der Arbeit verständigen konnte. Mays Büro in der Downing Street beharrte am Montag darauf, dass beide Vorgänge den Zeitplan nicht beeinflussen würden. Großbritannien Eine Strategie gibt es nicht: Großbritanniens umstrittener EU-Botschafter verabschiedet sich mit ungewöhnlicher Offenheit aus dem Amt.  Von Christian Zaschke",Nein
"Stranger Things-Star wird so heftig gemobbt, dass sie ihren Twitter-Account löscht",https://www.spiegel.de/kultur/tv/stranger-things-star-millie-bobbie-brown-wird-so-heftig-gemobbt-dass-sie-ihren-twitter-account-loescht-a-00000000-0003-0001-0000-000002502522,"Dieser Beitrag wurde am 14.06.2018 auf bento.de veröffentlicht. Schauspielerin Millie Bobby Brown hat ihren Twitter-Account gelöscht, weil in dem Netzwerk beleidigende Memes von ihr verbreitet werden: Menschen schreiben homophobe Sprüche auf Bilder von der Schauspielerin, offenbar finden sie es witzig, sie als LGBT-feindlich zu verunglimpfen. Millie Bobby Brown ist vor allem als Eleven aus Stranger Things bekannt.  Im November 2017 entstand der Hashtag #TakeDownMillieBobbieBrown nachdem eine Twitter-Nutzerin behauptet hatte, die Schauspielerin habe ihr das Kopftuch heruntergerissen, als sie Brown nach einem gemeinsamen Foto gefragt habe. Dabei handelte es sich allerdings offenbar um eine Lüge. Eine andere Twitter-Nutzerin fand heraus, dass sie nicht mal auf ihrem Profilbild ein Kopftuch trägt. Daraufhin löschte die Frau den Tweet, der Hashtag verbreitete sich trotzdem. Der genaue Ursprung der Memes ist nicht bekannt. Einige Twitter-Nutzer deuteten an, dass es sich bei den Memes um Insider-Witze aus der LGBT-Community handele. Spätestens Browns Rückzug zeigt nun, dass sie die Memes offenbar nicht witzig findet. Auf Twitter solidarisieren sich viele mit der 14-Jährigen und schreiben, dass es widerlich und überhaupt nicht lustig sei. Stranger Things: Was wir bis jetzt über die 3. Staffel wissen Brown ist nicht die einzige Schauspielerin, die im Netz Opfer von Mobbing wurde. Auch Star-Wars-Schauspielerin Kelly Marie Tran wurde von angeblichen Fans so lange gemobbt, bis sie sich gezwungen sah, alle Bilder ihres Instagram-Accounts zu löschen (bento).",Nein
