"","x"
"1","alleinerziehende"
"2","denkmalschutz"
"3","nachbesserungen"
"4","tierversuche"
"5","vereinsverbot"
"6","waffenlieferungen"
"7","asyl"
"8","asylant"
"9","asylanten"
"10","asylantinnen"
"11","asylbewerber"
"12","asylbewerberin"
"13","asylbewerberinnen"
"14","auslander"
"15","auslanderinnen"
"16","einwanderer"
"17","einwandererin"
"18","einwandererinnen"
"19","einwandernde"
"20","einwanderung"
"21","fluchtling"
"22","fluchtende"
"23","fluchtlinge"
"24","migration"
"25","immigration"
"26","schutzsuchende"
"27","schutzbedurftige"
"28","visa"
"29","visum"
"30","zuwanderung"
"31","zuwanderer"
"32","zuwandernde"
