"","x"
"1","abschiebungen"
"2","asylanträge"
"3","asylrecht"
"4","asylsuchende"
"5","einwanderung"
"6","einwanderungsgesetz"
"7","energiewende"
"8","familiennachzug"
"9","finanzhilfen"
"10","flüchtlinge"
"11","flüchtlingszahlen"
"12","freizügigkeit"
"13","grenzkontrollen"
"14","hundehalter"
"15","migranten"
"16","rückführungen"
"17","staatsbürgerschaft"
"18","steuererhöhungen"
"19","subventionen"
"20","syrern"
"21","zuwanderer"
"22","zuwanderung"
"23","asyl"
"24","asylant"
"25","asylanten"
"26","asylantinnen"
"27","asylbewerber"
"28","asylbewerberin"
"29","asylbewerberinnen"
"30","auslander"
"31","auslanderinnen"
"32","einwanderer"
"33","einwandererin"
"34","einwandererinnen"
"35","einwandernde"
"36","fluchtling"
"37","fluchtende"
"38","fluchtlinge"
"39","migration"
"40","immigration"
"41","schutzsuchende"
"42","schutzbedurftige"
"43","visa"
"44","visum"
"45","zuwandernde"
